,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,username,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,TOR,Andrea Bargnani,bargnan01,,10,550,15806,7873,2541,653,0.439,0.354,0.824,28.7,14.3,4.6,1.2,18.9,0.057,-1.6,1.5
2,2,CHI,LaMarcus Aldridge,aldrila01,Texas,14,1003,34518,19599,8360,1985,0.491,0.312,0.811,34.4,19.5,8.3,2,111.4,0.155,1.7,32.4
3,3,CHA,Adam Morrison,morriad01,Gonzaga,3,161,3278,1200,342,222,0.373,0.331,0.71,20.4,7.5,2.1,1.4,-1.4,-0.021,-5,-2.4
4,4,POR,Tyrus Thomas,thomaty01,LSU,8,402,7932,3093,1938,347,0.438,0.235,0.732,19.7,7.7,4.8,0.9,13,0.078,-1.2,1.7
5,5,ATL,Shelden Williams,willish02,Duke,6,361,5586,1618,1562,163,0.462,0.222,0.74,15.5,4.5,4.3,0.5,9.9,0.085,-3,-1.5
6,6,MIN,Brandon Roy,roybr01,Washington,6,326,11561,6136,1388,1517,0.459,0.348,0.8,35.5,18.8,4.3,4.7,37.4,0.155,3.6,16.3
7,7,BOS,Randy Foye,foyera01,Villanova,11,752,19279,7729,1686,2112,0.401,0.366,0.852,25.6,10.3,2.2,2.8,23.5,0.058,-1.2,3.8
8,8,HOU,Rudy Gay,gayru01,UConn,14,939,31175,16062,5535,2066,0.456,0.345,0.798,33.2,17.1,5.9,2.2,56.4,0.087,0.7,21.6
9,9,GSW,Patrick O'Bryant,obryapa01,Bradley,4,90,524,186,127,25,0.494,0,0.583,5.8,2.1,1.4,0.3,0.5,0.046,-4.6,-0.3
10,10,SEA,Mouhamed Sene,senesa01,,3,47,260,103,75,1,0.427,,0.589,5.5,2.2,1.6,0,0.3,0.052,-5.1,-0.2
11,11,ORL,J.J. Redick,redicjj01,Duke,14,890,23085,11589,1828,1800,0.448,0.416,0.891,25.9,13,2.1,2,62.6,0.13,0.8,16.1
12,12,NOK,Hilton Armstrong,armsthi01,UConn,6,292,3378,880,766,102,0.501,0.286,0.582,11.6,3,2.6,0.3,3.9,0.055,-4.1,-1.8
13,13,PHI,Thabo Sefolosha,sefolth01,,14,869,19062,4994,3252,1196,0.449,0.349,0.732,21.9,5.7,3.7,1.4,39.3,0.099,0.6,12.4
14,14,UTA,Ronnie Brewer,brewero02,Arkansas,8,502,11539,3940,1427,828,0.49,0.254,0.675,23,7.8,2.8,1.6,30.4,0.127,1.6,10.6
15,15,NOK,Cedric Simmons,simmoce01,NC State,3,75,705,163,141,14,0.409,,0.39,9.4,2.2,1.9,0.2,0.1,0.005,-5,-0.5
16,16,CHI,Rodney Carney,carnero01,Memphis,5,299,4600,1778,588,132,0.422,0.338,0.704,15.4,5.9,2,0.4,6.2,0.064,-1.6,0.5
