,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
38,38,DEN,Quincy Miller,millequ01,Baylor,3,69,934,295,169,37,0.35,0.292,0.706,13.5,4.3,2.4,0.5,-0.1,-0.003,-3.9,-0.5
39,39,DET,Khris Middleton,middlkh01,Texas A&M,8,510,16082,8288,2363,1693,0.458,0.392,0.874,31.5,16.3,4.6,3.3,38.3,0.114,0.5,10.2
40,40,POR,Will Barton,bartowi01,Memphis,8,496,12110,5492,2089,1248,0.434,0.347,0.786,24.4,11.1,4.2,2.5,20.9,0.083,0,6.2
41,41,POR,Tyshawn Taylor,tayloty01,Kansas,2,61,491,174,33,57,0.354,0.36,0.684,8,2.9,0.5,0.9,-0.9,-0.088,-8.1,-0.8
42,42,MIL,Doron Lamb,lambdo01,Kentucky,2,100,1272,345,95,75,0.381,0.394,0.7,12.7,3.5,1,0.8,0.1,0.005,-5.8,-1.2
43,43,ATL,Mike Scott,scottmi01,Virginia,8,499,8242,3473,1584,451,0.458,0.363,0.76,16.5,7,3.2,0.9,15.4,0.089,-1.7,0.7
44,44,DET,Kim English,engliki01,Missouri,1,41,407,119,37,26,0.375,0.28,0.724,9.9,2.9,0.9,0.6,0.2,0.021,-4.2,-0.2
45,45,PHI,Justin Hamilton,hamilju01,LSU,3,113,1961,687,403,91,0.464,0.309,0.798,17.4,6.1,3.6,0.8,3.7,0.091,-0.9,0.5
46,46,NOH,Darius Miller,milleda01,Kentucky,5,253,5161,1524,423,346,0.418,0.382,0.83,20.4,6,1.7,1.4,5.9,0.055,-2.5,-0.7
47,47,UTA,Kevin Murphy,murphke01,Tennessee Technological University,1,17,52,15,4,2,0.25,0.2,,3.1,0.9,0.2,0.1,-0.3,-0.272,-16.8,-0.2
48,48,NYK,Kostas Papanikolaou,papanko01,,2,69,1089,249,158,101,0.354,0.297,0.688,15.8,3.6,2.3,1.5,0.3,0.015,-2.7,-0.2
49,49,ORL,Kyle O'Quinn,oquinky01,Norfolk State,8,469,6659,2553,2148,627,0.517,0.225,0.739,14.2,5.4,4.6,1.3,17.6,0.127,0.9,4.8
50,50,DEN,?zzet Türky?lmaz,turkyiz01,,,,,,,,,,,,,,,,,,
51,51,BOS,Kris Joseph,josepkr01,Syracuse,1,10,54,9,7,1,0.143,0,0.625,5.4,0.9,0.7,0.1,-0.1,-0.127,-9.9,-0.1
52,52,GSW,Ognjen Kuzmi?,kuzmiog01,,2,37,164,35,38,8,0.52,,0.6,4.4,0.9,1,0.2,0.2,0.061,-5.6,-0.2
53,53,LAC,Furkan Aldemir,aldemfu01,,1,41,540,93,176,28,0.513,0,0.481,13.2,2.3,4.3,0.7,1.4,0.122,-3.6,-0.2
54,54,PHI,Tornike Shengelia,shengto01,,2,45,247,59,39,17,0.451,0.125,0.5,5.5,1.3,0.9,0.4,-0.2,-0.032,-7,-0.3
55,55,DAL,Darius Johnson-Odom,johnsda03,Marquette,2,7,21,0,6,2,0,0,0,3,0,0.9,0.3,-0.3,-0.597,-25.5,-0.1
56,56,TOR,Tomislav Zub?i?,zubcito01,,,,,,,,,,,,,,,,,,
57,57,NJN,?lkan Karaman,karamil01,,,,,,,,,,,,,,,,,,
58,58,MIN,Robbie Hummel,hummero01,Purdue,2,98,1397,379,266,50,0.418,0.343,0.867,14.3,3.9,2.7,0.5,1.9,0.066,-3.1,-0.4
59,59,SAS,Marcus Denmon,denmoma01,Missouri,,,,,,,,,,,,,,,,,
60,60,LAL,Robert Sacre,sacrero01,Gonzaga,4,189,2745,787,593,126,0.436,0,0.671,14.5,4.2,3.1,0.7,2.4,0.042,-4,-1.4
