,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,username,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,LAC,Blake Griffin,griffbl01,Oklahoma,10,622,21671,13479,5501,2749,0.498,0.333,0.694,34.8,21.7,8.8,4.4,75.2,0.167,3.8,31.9
2,2,MEM,Hasheem Thabeet,thabeha01,UConn,5,224,2357,483,595,27,0.567,,0.578,10.5,2.2,2.7,0.1,4.8,0.099,-2.7,-0.4
3,3,OKC,James Harden,hardeja01,Arizona State,11,826,28347,20723,4388,5193,0.442,0.363,0.858,34.3,25.1,5.3,6.3,133.3,0.226,6.9,63.6
4,4,SAC,Tyreke Evans,evansty01,Memphis,10,594,18242,9347,2720,2852,0.44,0.323,0.757,30.7,15.7,4.6,4.8,28.4,0.075,0.8,13.1
5,5,MIN,Ricky Rubio,rubiori01,,9,555,17172,6269,2357,4324,0.391,0.326,0.84,30.9,11.3,4.2,7.8,36.4,0.102,0.9,12.6
6,6,MIN,Jonny Flynn,flynnjo01,Syracuse,3,163,3738,1504,307,634,0.4,0.338,0.809,22.9,9.2,1.9,3.9,-1.1,-0.015,-4,-1.9
7,7,GSW,Stephen Curry,curryst01,Davidson,11,699,23998,16419,3158,4621,0.476,0.435,0.906,34.3,23.5,4.5,6.6,103.2,0.207,6.4,50.7
8,8,NYK,Jordan Hill,hilljo01,Arizona,8,409,7692,3232,2389,322,0.497,0.136,0.699,18.8,7.9,5.8,0.8,16.4,0.102,-2,0
9,9,TOR,DeMar DeRozan,derozde01,USC,11,813,27765,16283,3545,2893,0.457,0.283,0.829,34.2,20,4.4,3.6,66.5,0.115,0.4,16.5
10,10,MIL,Brandon Jennings,jennibr01,,9,555,16844,7801,1659,3151,0.387,0.345,0.796,30.3,14.1,3,5.7,29.9,0.085,0.8,11.8
11,11,NJN,Terrence Williams,willite01,Louisville,4,153,2922,1085,545,364,0.412,0.317,0.659,19.1,7.1,3.6,2.4,-0.2,-0.004,-2.8,-0.6
12,12,CHA,Gerald Henderson,hendege02,Duke,8,535,13854,5987,1716,1009,0.44,0.327,0.793,25.9,11.2,3.2,1.9,18.3,0.063,-1.8,0.6
13,13,IND,Tyler Hansbrough,hansbty01,UNC,7,428,7233,2881,1808,181,0.439,0.136,0.738,16.9,6.7,4.2,0.4,20.2,0.134,-2,0
14,14,PHO,Earl Clark,clarkea01,Louisville,6,261,3630,1138,778,134,0.403,0.328,0.664,13.9,4.4,3,0.5,2.9,0.038,-2.8,-0.8
15,15,DET,Austin Daye,dayeau01,Gonzaga,6,293,4132,1522,764,212,0.402,0.351,0.778,14.1,5.2,2.6,0.7,4.5,0.053,-2,0
16,16,CHI,James Johnson,johnsja01,Wake Forest,11,634,13081,5055,2284,1355,0.477,0.31,0.693,20.6,8,3.6,2.1,24.6,0.09,0.8,9.3
17,17,PHI,Jrue Holiday,holidjr01,UCLA,11,707,23508,11224,2767,4529,0.452,0.355,0.777,33.3,15.9,3.9,6.4,43,0.088,1.2,19.2
18,18,MIN,Ty Lawson,lawsoty01,UNC,8,551,16088,6977,1506,3316,0.46,0.359,0.77,29.2,12.7,2.7,6,42.1,0.126,1.4,13.6
19,19,ATL,Jeff Teague,teaguje01,Wake Forest,11,771,21214,9690,1901,4453,0.445,0.356,0.844,27.5,12.6,2.5,5.8,50.8,0.115,0.7,14.4
20,20,UTA,Eric Maynor,maynoer01,Virginia Commonwealth,5,267,3896,1141,348,760,0.392,0.35,0.721,14.6,4.3,1.3,2.8,3.3,0.041,-2.9,-0.8
21,21,NOH,Darren Collison,collida01,UCLA,10,708,20796,8857,1885,3543,0.471,0.394,0.853,29.4,12.5,2.7,5,49.9,0.115,0.6,13.5
22,22,POR,Victor Claver,clavevi01,,3,80,1072,258,178,56,0.398,0.293,0.585,13.4,3.2,2.2,0.7,0.2,0.011,-3.6,-0.4
23,23,SAC,Omri Casspi,casspom01,,10,588,11959,4642,2355,662,0.454,0.368,0.678,20.3,7.9,4,1.1,19.6,0.078,-0.8,3.5
24,24,DAL,Byron Mullens,mulleby01,Ohio State,5,189,3446,1398,790,153,0.408,0.319,0.706,18.2,7.4,4.2,0.8,0.6,0.008,-4,-1.8
25,25,OKC,Rodrigue Beaubois,beaubro01,,4,182,2896,1286,338,374,0.439,0.325,0.81,15.9,7.1,1.9,2.1,4.8,0.079,-0.1,1.4
26,26,CHI,Taj Gibson,gibsota01,USC,11,799,20094,7618,4998,812,0.515,0.22,0.709,25.1,9.5,6.3,1,52.4,0.125,-0.8,6.4
27,27,MEM,DeMarre Carroll,carrode01,Missouri,11,575,13616,5136,2446,719,0.43,0.358,0.74,23.7,8.9,4.3,1.3,29.4,0.104,0,6.7
28,28,MIN,Wayne Ellington,ellinwa01,UNC,11,681,14278,5461,1481,755,0.408,0.378,0.846,21,8,2.2,1.1,18.2,0.061,-1.6,1.6
29,29,LAL,Toney Douglas,douglto01,Florida State,8,394,7511,3009,875,889,0.404,0.354,0.824,19.1,7.6,2.2,2.3,12.1,0.077,-0.8,2.2
30,30,CLE,Christian Eyenga,eyengch01,,2,51,1049,320,137,40,0.411,0.277,0.611,20.6,6.3,2.7,0.8,-0.4,-0.02,-4.2,-0.6
31,31,SAC,Jeff Ayres,pendeje02,Arizona State,6,237,2322,690,632,99,0.553,0.4,0.776,9.8,2.9,2.7,0.4,6.3,0.131,-2.3,-0.2
32,32,WAS,Jermaine Taylor,tayloje02,Central Florida,2,65,786,351,108,48,0.441,0.284,0.73,12.1,5.4,1.7,0.7,0.2,0.014,-3.7,-0.3
33,33,POR,Dante Cunningham,cunnida01,Villanova,10,715,14875,4133,2676,506,0.469,0.345,0.649,20.8,5.8,3.7,0.7,24.9,0.08,-1.7,1.1
34,34,DEN,Sergio Llull,llullse01,,,,,,,,,,,,,,,,,,
35,35,DET,DaJuan Summers,summeda01,Georgetown,4,83,820,278,82,29,0.384,0.367,0.642,9.9,3.3,1,0.3,-0.1,-0.008,-5.8,-0.8
36,36,MEM,Sam Young,youngsa01,Pitt,4,249,3966,1436,573,180,0.442,0.28,0.742,15.9,5.8,2.3,0.7,5.2,0.063,-2.1,-0.1
37,37,SAS,DeJuan Blair,blairde01,Pitt,7,424,7054,2865,2153,349,0.524,0,0.608,16.6,6.8,5.1,0.8,19,0.129,-1.2,1.4
38,38,POR,Jon Brockman,brockjo01,Washington,3,150,1570,320,472,49,0.488,0,0.618,10.5,2.1,3.1,0.3,3.7,0.113,-3.9,-0.8
39,39,DET,Jonas Jerebko,jerebjo01,,9,635,11323,3919,2522,525,0.457,0.363,0.77,17.8,6.2,4,0.8,25.8,0.109,-1,2.9
