,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,username,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,MIL,Andrew Bogut,bogutan01,Utah,14,706,19862,6808,6112,1546,0.535,0.12,0.557,28.1,9.6,8.7,2.2,50.6,0.122,1.2,16
2,2,ATL,Marvin Williams,willima02,UNC,15,1066,30041,10941,5511,1369,0.443,0.362,0.808,28.2,10.3,5.2,1.3,64.8,0.104,-0.4,12.3
3,3,UTA,Deron Williams,willide01,Illinois,12,845,28865,13804,2619,6819,0.445,0.357,0.822,34.2,16.3,3.1,8.1,77.3,0.129,1.9,28.3
4,4,NOH,Chris Paul,paulch01,Wake Forest,15,1013,35353,18711,4572,9607,0.47,0.37,0.87,34.9,18.5,4.5,9.5,179.5,0.244,7.6,85.6
5,5,CHA,Raymond Felton,feltora01,UNC,14,971,28829,10853,2867,5096,0.412,0.329,0.79,29.7,11.2,3,5.2,40.2,0.067,-0.6,10.1
6,6,POR,Martell Webster,webstma02,,10,580,13914,5056,1811,588,0.418,0.382,0.791,24,8.7,3.1,1,24.7,0.085,-0.8,4.3
7,7,TOR,Charlie Villanueva,villach01,UConn,11,656,13578,6808,3019,549,0.435,0.341,0.772,20.7,10.4,4.6,0.8,22.6,0.08,-0.6,4.7
8,8,NYK,Channing Frye,fryech01,Arizona,13,890,19772,7786,4002,864,0.44,0.388,0.822,22.2,8.7,4.5,1,38.9,0.094,-0.4,8
9,9,GSW,Ike Diogu,dioguik01,Arizona State,6,225,2795,1348,689,69,0.509,0.5,0.786,12.4,6,3.1,0.3,6.5,0.112,-3,-0.7
10,10,LAL,Andrew Bynum,bynuman01,,8,418,10690,4822,3221,490,0.556,0.111,0.69,25.6,11.5,7.7,1.2,37.4,0.168,1.4,9.1
11,11,ORL,Fran Vázquez,vazqufr01,,,,,,,,,,,,,,,,,,
12,12,LAC,Yaroslav Korolev,korolya01,,2,34,168,39,16,13,0.283,0.25,0.625,4.9,1.1,0.5,0.4,-0.1,-0.024,-5.2,-0.1
13,13,CHA,Sean May,mayse01,UNC,4,119,1868,821,481,115,0.458,0.231,0.746,15.7,6.9,4,1,2.6,0.068,-1.7,0.2
14,14,MIN,Rashad McCants,mccanra01,UNC,4,249,5037,2479,506,331,0.431,0.368,0.741,20.2,10,2,1.3,3.6,0.035,-1.7,0.4
15,15,NJN,Antoine Wright,wrighan01,Texas A&M,6,297,5714,1614,681,295,0.412,0.304,0.674,19.2,5.4,2.3,1,3.1,0.026,-3.7,-2.4
16,16,TOR,Joey Graham,grahajo01,Oklahoma State,6,377,6117,2239,1058,207,0.483,0.3,0.815,16.2,5.9,2.8,0.5,7.8,0.061,-3.6,-2.4
17,17,IND,Danny Granger,grangda01,New Mexico,10,586,18487,9855,2888,1097,0.434,0.38,0.848,31.5,16.8,4.9,1.9,48.5,0.126,1.8,17.7
18,18,BOS,Gerald Green,greenge01,,12,658,13026,6412,1639,596,0.417,0.361,0.818,19.8,9.7,2.5,0.9,18.4,0.068,-1.3,2.4
19,19,MEM,Hakim Warrick,warriha01,Syracuse,8,526,10624,4947,2117,400,0.49,0.191,0.726,20.2,9.4,4,0.8,20.4,0.092,-1.9,0.4
20,20,DEN,Julius Hodge,hodgeju01,NC State,2,23,98,28,15,18,0.44,,0.5,4.3,1.2,0.7,0.8,0,0.003,-3.7,0
21,21,PHO,Nate Robinson,robinna01,Washington,11,618,13878,6807,1446,1826,0.423,0.36,0.796,22.5,11,2.3,3,27.8,0.096,0.5,8.6
22,22,DEN,Jarrett Jack,jackja01,Georgia Tech,13,867,24140,9349,2487,3952,0.44,0.343,0.855,27.8,10.8,2.9,4.6,36.8,0.073,-0.9,6.5
23,23,SAC,Francisco García,garcifr01,Louisville,10,549,11853,4323,1400,747,0.427,0.357,0.799,21.6,7.9,2.6,1.4,18.2,0.074,-0.1,5.7
24,24,HOU,Luther Head,headlu01,Illinois,6,348,7797,2842,845,747,0.423,0.388,0.773,22.4,8.2,2.4,2.1,14.7,0.09,0.1,4.2
25,25,SEA,Johan Petro,petrojo01,,8,473,7262,2202,1836,227,0.462,0.154,0.678,15.4,4.7,3.9,0.5,5.5,0.037,-4.6,-4.6
26,26,DET,Jason Maxiell,maxieja01,Cincinnati,10,618,11379,3481,2576,266,0.495,0,0.564,18.4,5.6,4.2,0.4,20.3,0.086,-2.5,-1.4
27,27,POR,Linas Kleiza,kleizli01,Missouri,7,409,8185,3561,1470,321,0.435,0.335,0.763,20,8.7,3.6,0.8,13.6,0.08,-2.3,-0.7
28,28,SAS,Ian Mahinmi,mahinia01,,12,618,10353,3209,2705,357,0.533,0.16,0.612,16.8,5.2,4.4,0.6,26,0.121,-2,0.1
29,29,MIA,Wayne Simien,simiewa01,Kansas,2,51,507,169,99,11,0.469,,0.854,9.9,3.3,1.9,0.2,0.9,0.083,-4.4,-0.3
30,30,NYK,David Lee,leeda02,Florida,12,829,24293,11232,7320,1825,0.535,0.034,0.772,29.3,13.5,8.8,2.2,76,0.15,1.1,19.2
31,31,ATL,Salim Stoudamire,stoudsa01,Arizona,3,157,2672,1260,214,164,0.407,0.366,0.882,17,8,1.4,1,2.2,0.04,-2.9,-0.6
32,32,LAC,Daniel Ewing,ewingda01,Duke,2,127,1683,431,158,174,0.389,0.295,0.78,13.3,3.4,1.2,1.4,0.8,0.024,-3,-0.4
33,33,NOH,Brandon Bass,bassbr01,LSU,12,758,16410,6575,3448,608,0.499,0.207,0.832,21.6,8.7,4.5,0.8,42.8,0.125,-0.8,5.1
34,34,UTA,C.J. Miles,milescj01,,15,848,17282,8108,2011,914,0.411,0.358,0.809,20.4,9.6,2.4,1.1,30.1,0.084,-0.4,6.9
35,35,POR,Ricky Sanchez,,,,,,,,,,,,,,,,,,,
36,36,MIL,Ersan ?lyasova,ilyaser01,,12,801,18718,8267,4606,902,0.444,0.366,0.776,23.4,10.3,5.8,1.1,48.2,0.124,-0.1,8.9
37,37,LAL,Ronny Turiaf,turiaro01,Gonzaga,10,473,8020,2209,1757,618,0.533,0,0.636,17,4.7,3.7,1.3,19.2,0.115,0.3,4.7
38,38,ORL,Travis Diener,dienetr01,Marquette,5,179,2660,854,243,432,0.388,0.353,0.847,14.9,4.8,1.4,2.4,5.6,0.102,-0.4,1.1
39,39,LAL,Von Wafer,wafervo01,Florida State,6,200,2475,1054,234,146,0.42,0.325,0.751,12.4,5.3,1.2,0.7,3.3,0.064,-1.8,0.1
40,40,GSW,Monta Ellis,ellismo01,,12,833,29011,14858,2874,3856,0.451,0.314,0.772,34.8,17.8,3.5,4.6,41.9,0.069,-0.3,12.4
41,41,TOR,Roko Uki?,ukicro01,,2,85,987,341,78,165,0.387,0.189,0.746,11.6,4,0.9,1.9,-0.2,-0.007,-4.3,-0.6
42,42,GSW,Chris Taft,taftch01,Pitt,1,17,144,47,36,2,0.605,,0.167,8.5,2.8,2.1,0.1,0.5,0.155,-0.7,0
43,43,NJN,Mile Ili?,ilicmi01,,1,5,6,0,1,0,0,,,1.2,0,0.2,0,-0.2,-1.264,-52,-0.1
44,44,ORL,Martynas Andriuškevi?ius,andrima01,,1,6,9,0,4,0,0,,,1.5,0,0.7,0,0,0.155,5.2,0
45,45,PHI,Lou Williams,willilo02,,15,996,24775,14424,2244,3438,0.42,0.35,0.84,24.9,14.5,2.3,3.5,63.3,0.123,1.8,23.6
46,46,IND,Erazem Lorbek,lorbeer01,,,,,,,,,,,,,,,,,,
47,47,MIN,Bracey Wright,wrighbr02,Indiana,2,26,325,129,39,20,0.405,0.324,0.794,12.5,5,1.5,0.8,0.5,0.068,-1.6,0
48,48,SEA,Mickaël Gelabale,gelabmi01,,3,145,2348,670,330,115,0.47,0.316,0.815,16.2,4.6,2.3,0.8,3,0.062,-2.1,0
49,49,WAS,Andray Blatche,blatcan01,,9,564,12462,5706,3024,798,0.467,0.237,0.725,22.1,10.1,5.4,1.4,19.2,0.074,-0.8,3.8
50,50,BOS,Ryan Gomes,gomesry01,Providence,8,487,13463,4926,2239,712,0.445,0.349,0.799,27.6,10.1,4.6,1.5,19.4,0.069,-1.6,1.4
51,51,UTA,Robert Whaley,whalero01,Walsh University,1,23,212,49,43,17,0.404,,0.5,9.2,2.1,1.9,0.7,0,0.004,-5.1,-0.2
52,52,DEN,Axel Hervelle,herveax01,,,,,,,,,,,,,,,,,,
53,53,BOS,Orien Greene,greenor01,LA-Lafayette,4,131,1555,326,195,155,0.387,0.212,0.642,11.9,2.5,1.5,1.2,-0.7,-0.022,-4.6,-1
54,54,NYK,Dijon Thompson,thompdi01,UCLA,2,16,93,45,19,3,0.425,0.308,0.875,5.8,2.8,1.2,0.2,0.2,0.102,-0.5,0
55,55,SEA,Lawrence Roberts,roberla01,Mississippi State,2,87,1150,334,310,35,0.452,0,0.688,13.2,3.8,3.6,0.4,2.5,0.106,-1.9,0
56,56,DET,Amir Johnson,johnsam01,,14,870,18323,6102,4692,1073,0.57,0.332,0.673,21.1,7,5.4,1.2,55.3,0.145,0.3,10.6
57,57,PHO,Marcin Gortat,gortama01,,12,806,20691,7951,6407,915,0.551,0.15,0.68,25.7,9.9,7.9,1.1,61.3,0.142,0.4,12.7
58,58,TOR,Uroš Slokar,slokaur01,,1,20,72,38,14,1,0.538,0.5,0.692,3.6,1.9,0.7,0.1,0.1,0.042,-5.6,-0.1
59,59,ATL,Cenk Akyol,akyolce01,,,,,,,,,,,,,,,,,,
60,60,DET,Alex Acker,ackeral01,Pepperdine,2,30,234,81,29,16,0.37,0.32,0.5,7.8,2.7,1,0.5,-0.2,-0.043,-5.3,-0.2
