,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
11,11,GSW,Mickaël Piétrus,pietrmi01,,10,557,11950,4629,1723,445,0.425,0.355,0.665,21.5,8.3,3.1,0.8,19.7,0.079,-0.9,3.2
12,12,SEA,Nick Collison,collini01,Kansas,14,910,18603,5359,4701,939,0.534,0.208,0.723,20.4,5.9,5.2,1,44.5,0.115,-1.3,3.1
13,13,MEM,Marcus Banks,banksma01,UNLV,8,348,5571,2061,519,728,0.432,0.327,0.768,16,5.9,1.5,2.1,6.6,0.057,-2,-0.1
14,14,SEA,Luke Ridnour,ridnolu01,Oregon,12,830,21623,7740,1877,3713,0.431,0.349,0.862,26.1,9.3,2.3,4.5,36,0.08,-0.6,7.5
15,15,ORL,Reece Gaines,gainere01,Louisville,3,71,605,123,53,50,0.324,0.269,0.606,8.5,1.7,0.7,0.7,-0.6,-0.049,-6.1,-0.6
16,16,BOS,Troy Bell,belltr01,Boston College,1,6,34,11,4,4,0.222,0,1,5.7,1.8,0.7,0.7,-0.2,-0.326,-19.6,-0.2
17,17,PHO,Žarko ?abarkapa,cabarza01,,3,150,1550,640,312,85,0.427,0.273,0.733,10.3,4.3,2.1,0.6,1.1,0.035,-3.9,-0.7
18,18,NOH,David West,westda01,Xavier,15,1034,29144,14034,6590,2273,0.495,0.265,0.817,28.2,13.6,6.4,2.2,85.9,0.141,1.7,27.6
19,19,UTA,Sasha Pavlovi?,pavloal01,,10,567,8888,2787,1000,517,0.404,0.346,0.673,15.7,4.9,1.8,0.9,7,0.038,-3.4,-3.1
20,20,BOS,Dahntay Jones,jonesda02,Duke,13,624,9799,3353,1082,529,0.439,0.329,0.751,15.7,5.4,1.7,0.8,9.9,0.048,-3.7,-4.1
21,21,ATL,Boris Diaw,diawbo01,,14,1064,28768,9139,4634,3684,0.493,0.336,0.717,27,8.6,4.4,3.5,51.6,0.086,0.1,15.5
22,22,NJN,Zoran Planini?,planizo01,,3,148,1584,561,198,165,0.405,0.289,0.677,10.7,3.8,1.3,1.1,1.5,0.046,-3.5,-0.6
23,23,POR,Travis Outlaw,outlatr01,,11,622,13026,5273,1974,514,0.423,0.337,0.744,20.9,8.5,3.2,0.8,16.5,0.061,-1.4,2.1
24,24,LAL,Brian Cook,cookbr01,Illinois,9,421,5649,2312,1115,252,0.439,0.382,0.783,13.4,5.5,2.6,0.6,10.2,0.086,-1.6,0.5
25,25,DET,Carlos Delfino,delfica01,,8,507,11580,4115,1815,887,0.401,0.365,0.758,22.8,8.1,3.6,1.7,22.5,0.093,0.5,7.2
26,26,MIN,Ndudi Ebi,ebind01,,2,19,86,40,19,4,0.486,0,0.462,4.5,2.1,1,0.2,0.1,0.051,-3.8,0
27,27,MEM,Kendrick Perkins,perkike01,,14,782,17162,4214,4532,813,0.53,0,0.594,21.9,5.4,5.8,1,27.9,0.078,-1.9,0.6
28,28,SAS,Leandro Barbosa,barbole01,,14,850,18386,9035,1720,1775,0.459,0.387,0.821,21.6,10.6,2,2.1,37.4,0.098,-0.2,8.6
29,29,DAL,Josh Howard,howarjo01,Wake Forest,10,507,15350,7270,2886,817,0.448,0.332,0.77,30.3,14.3,5.7,1.6,38,0.119,0.6,10
30,30,NYK,Maciej Lampe,lampema01,,3,64,632,215,142,22,0.407,0.25,0.676,9.9,3.4,2.2,0.3,-0.2,-0.014,-7,-0.8
31,31,CLE,Jason Kapono,kaponja01,UCLA,9,509,9068,3398,844,417,0.442,0.434,0.835,17.8,6.7,1.7,0.8,10.3,0.055,-2.6,-1.3
32,32,LAL,Luke Walton,waltolu01,Arizona,10,564,9685,2649,1588,1317,0.429,0.326,0.715,17.2,4.7,2.8,2.3,13.5,0.067,-1,2.5
33,33,MIA,Jerome Beasley,beaslje01,University of North Dakota,1,2,5,2,1,0,0.333,,,2.5,1,0.5,0,0,-0.117,-5.2,0
34,34,LAC,Sofoklis Schortsanitis,schorso01,,,,,,,,,,,,,,,,,,
35,35,MIL,Szymon Szewczyk,szewcsz01,,,,,,,,,,,,,,,,,,
36,36,CHI,Mario Austin,austima01,Mississippi State,,,,,,,,,,,,,,,,,
37,37,ATL,Travis Hansen,hansetr01,BYU,1,41,507,123,70,19,0.354,0.3,0.815,12.4,3,1.7,0.5,0.2,0.019,-6.2,-0.5
38,38,WAS,Steve Blake,blakest01,Maryland,13,870,20823,5662,1816,3446,0.401,0.383,0.779,23.9,6.5,2.1,4,29.1,0.067,-1.2,4.2
39,39,NYK,Slavko Vraneš,vranesl01,,1,1,3,0,0,0,0,,,3,0,0,0,0,-0.371,-26.2,0
40,40,GSW,Derrick Zimmerman,zimmede01,Mississippi State,1,2,32,4,4,7,0.667,,,16,2,2,3.5,0,0.004,-10.4,-0.1
41,41,SEA,Willie Green,greenwi01,Detroit Mercy,12,731,14783,6059,1303,1018,0.425,0.346,0.765,20.2,8.3,1.8,1.4,12.9,0.042,-2.7,-2.7
42,42,ORL,Zaza Pachulia,pachuza01,,16,1098,22240,7414,6315,1433,0.469,0,0.751,20.3,6.8,5.8,1.3,52.7,0.114,-1.5,2.9
43,43,MIL,Keith Bogans,boganke01,Kentucky,11,671,14527,4257,1817,866,0.394,0.353,0.716,21.6,6.3,2.7,1.3,20.4,0.068,-1.5,1.9
44,44,HOU,Malick Badiane,,,,,,,,,,,,,,,,,,,
45,45,CHI,Matt Bonner,bonnema01,Florida,12,792,13356,4632,2371,552,0.464,0.414,0.78,16.9,5.8,3,0.7,38.5,0.138,1,10.1
46,46,DEN,Sani Be?irovi?,becirsa01,,,,,,,,,,,,,,,,,,
47,47,UTA,Mo Williams,willima01,Alabama,13,818,23872,10759,2264,3990,0.434,0.378,0.871,29.2,13.2,2.8,4.9,40,0.08,-0.3,10
48,48,NOH,James Lang,langja01,,1,11,55,11,11,2,0.444,,0.6,5,1,1,0.2,0.1,0.047,-6.4,-0.1
49,49,IND,James Jones,jonesja02,Miami (FL),14,709,11098,3717,1276,366,0.401,0.401,0.84,15.7,5.2,1.8,0.5,25.2,0.109,-0.1,5.4
50,50,PHI,Paccelis Morlende,morlepa01,,,,,,,,,,,,,,,,,,
51,51,NJN,Kyle Korver,korveky01,Creighton,17,1224,31056,11903,3625,2107,0.442,0.429,0.876,25.4,9.7,3,1.7,73.1,0.113,0.6,20.6
52,52,TOR,Remon Van de Hare,,,,,,,,,,,,,,,,,,,
53,53,CHI,Tommy Smith,,Arizona State,,,,,,,,,,,,,,,,,
54,54,POR,Nedžad Sinanovi?,sinanne01,,,,,,,,,,,,,,,,,,
55,55,MIN,Rick Rickert,,Minnesota,,,,,,,,,,,,,,,,,
56,56,BOS,Brandon Hunter,huntebr01,Ohio University,2,67,630,220,187,22,0.476,0,0.488,9.4,3.3,2.8,0.3,0.7,0.055,-3.7,-0.3
57,57,DAL,Xue Yuyang,yuyanxu01,,,,,,,,,,,,,,,,,,
58,58,DET,Andreas Glyniadakis,glynian01,,1,13,81,17,8,1,0.471,,0.5,6.2,1.3,0.6,0.1,-0.2,-0.143,-14,-0.2
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
