,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,username,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,LeBron James,jamesle01,,17,1258,48329,34087,9353,9298,0.504,0.344,0.735,38.4,27.1,7.4,7.4,236.1,0.235,8.9,133.2
2,2,DET,Darko Mili?i?,milicda01,,10,468,8638,2813,1971,405,0.46,0,0.574,18.5,6,4.2,0.9,7.1,0.04,-2.4,-0.9
3,3,DEN,Carmelo Anthony,anthoca01,Syracuse,17,1114,39752,26314,7251,3244,0.448,0.348,0.812,35.7,23.6,6.5,2.9,102,0.123,1.6,35.7
4,4,TOR,Chris Bosh,boshch01,Georgia Tech,13,893,31936,17189,7592,1795,0.494,0.335,0.799,35.8,19.2,8.5,2,106,0.159,1.9,31.1
5,5,MIA,Dwyane Wade,wadedw01,Marquette,16,1054,35773,23165,4933,5701,0.48,0.293,0.765,33.9,22,4.7,5.4,120.7,0.162,5,62.8
6,6,LAC,Chris Kaman,kamanch01,Central Michigan University,13,735,19642,8208,5582,921,0.489,0.042,0.743,26.7,11.2,7.6,1.3,24.6,0.06,-1.9,0.4
7,7,CHI,Kirk Hinrich,hinriki01,Kansas,13,879,27015,9594,2576,4245,0.411,0.375,0.8,30.7,10.9,2.9,4.8,52.5,0.093,0,13.3
8,8,MIL,T.J. Ford,fordtj01,Texas,8,429,11882,4797,1331,2495,0.433,0.289,0.815,27.7,11.2,3.1,5.8,16.9,0.068,-0.4,4.6
9,9,NYK,Mike Sweetney,sweetmi01,Georgetown,4,233,3610,1516,1045,145,0.485,0,0.689,15.5,6.5,4.5,0.6,7.8,0.103,-2.7,-0.6
10,10,WAS,Jarvis Hayes,hayesja01,Georgia,7,427,9898,3553,1330,459,0.415,0.356,0.798,23.2,8.3,3.1,1.1,10.2,0.049,-2.5,-1.3
