,,,2017,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
11,11,CHO,Malik Monk,monkma01,Kentucky,3,191,3281,1638,360,322,0.395,0.322,0.85,17.2,8.6,1.9,1.7,1,0.015,-2.9,-0.8
12,12,DET,Luke Kennard,kennalu01,Duke,3,164,3822,1613,457,353,0.441,0.402,0.863,23.3,9.8,2.8,2.2,7,0.088,-0.8,1.2
13,13,DEN,Donovan Mitchell,mitchdo01,Louisville,3,219,7401,4970,888,877,0.44,0.355,0.821,33.8,22.7,4.1,4,15.4,0.1,1.4,6.5
14,14,MIA,Bam Adebayo,adebaba01,Kentucky,3,216,5516,2259,1661,618,0.558,0.114,0.711,25.5,10.5,7.7,2.9,19.2,0.167,2,5.6
15,15,POR,Justin Jackson,jacksju01,UNC,3,207,4049,1365,541,219,0.433,0.325,0.78,19.6,6.6,2.6,1.1,5.1,0.061,-2.6,-0.6
16,16,CHI,Justin Patton,pattoju01,Creighton,3,9,49,16,11,5,0.368,0.167,0.5,5.4,1.8,1.2,0.6,0,0.014,-5.6,0
17,17,MIL,D.J. Wilson,wilsodj01,Michigan,3,101,1233,401,300,77,0.416,0.332,0.569,12.2,4,3,0.8,2.1,0.082,-2.5,-0.1
18,18,IND,T.J. Leaf,leaftj01,UCLA,3,136,1174,453,271,39,0.497,0.356,0.61,8.6,3.3,2,0.3,2.7,0.112,-1.6,0.1
19,19,ATL,John Collins,collijo01,Wake Forest,3,176,4977,2850,1552,279,0.571,0.369,0.757,28.3,16.2,8.8,1.6,16.4,0.158,1.1,3.9
20,20,POR,Harry Giles,gilesha01,Duke,2,96,1399,673,381,134,0.524,0,0.679,14.6,7,4,1.4,2.4,0.082,-2.2,-0.1
21,21,OKC,Terrance Ferguson,fergute01,,3,185,3864,911,261,136,0.412,0.34,0.763,20.9,4.9,1.4,0.7,4.7,0.058,-3.8,-1.8
22,22,BRK,Jarrett Allen,allenja01,Texas,3,216,5184,2141,1665,244,0.607,0.169,0.692,24,9.9,7.7,1.1,19,0.176,1.1,4.1
23,23,TOR,OG Anunoby,anunoog01,Indiana,3,204,4730,1582,722,201,0.48,0.362,0.638,23.2,7.8,3.5,1,10.1,0.103,-0.5,1.9
24,24,UTA,Tyler Lydon,lydonty01,Syracuse,2,26,96,23,18,6,0.5,0.4,0.333,3.7,0.9,0.7,0.2,0.2,0.084,-4.3,-0.1
25,25,ORL,Anžejs Pase??iks,pasecan01,,1,24,405,144,99,17,0.528,0,0.593,16.9,6,4.1,0.7,0.5,0.056,-5.4,-0.3
26,26,POR,Caleb Swanigan,swanica01,Purdue,3,75,655,169,218,56,0.438,0.118,0.614,8.7,2.3,2.9,0.7,-0.2,-0.014,-6,-0.7
27,27,BRK,Kyle Kuzma,kuzmaky01,Utah,3,201,6042,3224,1107,388,0.449,0.327,0.733,30.1,16,5.5,1.9,8.4,0.067,-1.6,0.6
28,28,LAL,Tony Bradley,bradlto01,UNC,3,62,600,258,242,19,0.626,0.5,0.659,9.7,4.2,3.9,0.3,2.8,0.225,0.5,0.4
29,29,SAS,Derrick White,whitede01,Colorado,3,145,3335,1350,466,478,0.47,0.359,0.814,23,9.3,3.2,3.3,7.5,0.108,0.9,2.5
30,30,UTA,Josh Hart,hartjo01,Villanova,3,187,4739,1600,881,267,0.428,0.353,0.713,25.3,8.6,4.7,1.4,8.2,0.083,-0.7,1.6
31,31,CHO,Frank Jackson,jacksfr01,Duke,2,112,1825,780,205,110,0.416,0.318,0.745,16.3,7,1.8,1,0.4,0.01,-5.2,-1.5
32,32,PHO,Davon Reed,reedda01,Miami (FL),2,31,289,75,45,16,0.307,0.31,0.667,9.3,2.4,1.5,0.5,-0.2,-0.039,-6.3,-0.3
33,33,ORL,Wesley Iwundu,iwundwe01,Kansas State,3,175,3063,805,434,176,0.413,0.307,0.796,17.5,4.6,2.5,1,3.9,0.061,-3.5,-1.2
34,34,SAC,Frank Mason,masonfr01,Kansas,3,96,1472,622,181,242,0.387,0.294,0.767,15.3,6.5,1.9,2.5,0.8,0.026,-2.8,-0.3
35,35,ORL,Ivan Rabb,rabbiv01,California,2,85,1237,485,364,86,0.555,0.2,0.743,14.6,5.7,4.3,1,3.2,0.125,-1.7,0.1
36,36,PHI,Jonah Bolden,boldejo01,,2,51,686,217,174,40,0.486,0.34,0.484,13.5,4.3,3.4,0.8,1.4,0.098,-1.3,0.1
37,37,BOS,Semi Ojeleye,ojelese01,SMU,3,190,2635,572,371,74,0.39,0.333,0.685,13.9,3,2,0.4,3.6,0.065,-3.5,-1
38,38,CHI,Jordan Bell,belljo01,Oregon,3,154,1853,578,472,194,0.563,0.222,0.638,12,3.8,3.1,1.3,4.9,0.126,0.5,1.2
39,39,PHI,Jawun Evans,evansja01,Oklahoma State,2,56,843,237,96,110,0.345,0.263,0.776,15.1,4.2,1.7,2,-0.4,-0.022,-5.4,-0.7
40,40,NOP,Dwayne Bacon,bacondw01,Florida State,3,135,2159,715,313,137,0.403,0.345,0.718,16,5.3,2.3,1,0.3,0.007,-5.1,-1.7
41,41,ATL,Tyler Dorsey,dorsety01,Oregon,2,104,1672,701,243,135,0.389,0.35,0.669,16.1,6.7,2.3,1.3,1,0.03,-3.1,-0.5
42,42,UTA,Thomas Bryant,bryanth01,Indiana,3,125,2469,1240,731,169,0.604,0.344,0.755,19.8,9.9,5.8,1.4,8.5,0.165,1.5,2.1
43,43,HOU,Isaiah Hartenstein,harteis01,,2,51,487,160,137,33,0.593,0.182,0.714,9.5,3.1,2.7,0.6,1.5,0.15,-1.5,0.1
44,44,NYK,Damyean Dotson,dotsoda01,Oregon,3,165,3314,1282,437,223,0.419,0.361,0.721,20.1,7.8,2.6,1.4,3,0.044,-2.3,-0.2
45,45,HOU,Dillon Brooks,brookdi01,Oregon,3,165,4531,2053,501,279,0.418,0.364,0.775,27.5,12.4,3,1.7,2.1,0.023,-4.3,-2.7
46,46,PHI,Sterling Brown,brownst02,SMU,3,157,2475,812,492,155,0.418,0.344,0.762,15.8,5.2,3.1,1,3.8,0.074,-2.1,-0.1
47,47,IND,Ike Anigbogu,anigbik01,UCLA,2,14,36,13,12,1,0.333,,0.833,2.6,0.9,0.9,0.1,0,0.057,-1.1,0
48,48,MIL,Sindarius Thornwell,thornsi01,South Carolina,2,137,1469,344,184,86,0.415,0.342,0.689,10.7,2.5,1.3,0.6,1,0.034,-2.9,-0.3
49,49,DEN,Vlatko ?an?ar,cancavl01,,1,14,45,17,10,3,0.4,0.167,1,3.2,1.2,0.7,0.2,0.1,0.069,-4.6,0
50,50,PHI,Mathias Lessort,lessoma01,,0,,,,,,,,,,,,,,,,
51,51,DEN,Monte Morris,morrimo01,Iowa State,3,150,3397,1410,308,534,0.48,0.398,0.814,22.6,9.4,2.1,3.6,9.8,0.138,1,2.6
52,52,NOP,Edmond Sumner,sumneed01,Xavier,3,49,557,182,62,49,0.398,0.262,0.641,11.4,3.7,1.3,1,0.4,0.033,-3.9,-0.3
53,53,BOS,Kadeem Allen,allenka01,Arizona,3,47,640,258,71,109,0.435,0.349,0.757,13.6,5.5,1.5,2.3,1,0.075,-1,0.2
54,54,PHO,Alec Peters,peteral01,Valparaiso,1,20,225,82,37,12,0.378,0.31,0.8,11.3,4.1,1.9,0.6,0.3,0.055,-2.8,0
55,55,UTA,Nigel Williams-Goss,willini01,Gonzaga,1,9,28,4,5,5,0.143,0,1,3.1,0.4,0.6,0.6,0,-0.045,-3.9,0
56,56,BOS,Jabari Bird,birdja01,California,1,13,115,39,19,8,0.577,0.429,0.462,8.8,3,1.5,0.6,0.2,0.098,-3.1,0
57,57,BRK,Aleksandar Vezenkov,vezenal01,,0,,,,,,,,,,,,,,,,
58,58,NYK,Ognjen Jaramaz,jaramog01,,0,,,,,,,,,,,,,,,,
59,59,SAS,Jaron Blossomgame,blossja01,Clemson,1,27,439,114,98,13,0.443,0.256,0.769,16.3,4.2,3.6,0.5,0.3,0.03,-3.8,-0.2
60,60,ATL,Alpha Kaba,kabaal01,,,,,,,,,,,,,,,,,,
