,,,2017,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,username,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz,fultzma01,Washington,3,97,2493,1027,326,446,0.456,0.256,0.668,25.7,10.6,3.4,4.6,3.2,0.062,-2,0
2,2,LAL,Lonzo Ball,balllo01,UCLA,3,155,5020,1688,959,1023,0.393,0.343,0.484,32.4,10.9,6.2,6.6,6.1,0.058,0.6,3.3
3,3,BOS,Jayson Tatum,tatumja01,Duke,3,218,6936,3745,1297,470,0.456,0.399,0.827,31.8,17.2,5.9,2.2,18.3,0.127,1.5,6.1
4,4,PHO,Josh Jackson,jacksjo02,Kansas,3,174,4304,2110,756,333,0.417,0.298,0.651,24.7,12.1,4.3,1.9,-1.9,-0.021,-4,-2.2
5,5,SAC,De'Aaron Fox,foxde01,Kentucky,3,199,5998,3163,689,1214,0.448,0.335,0.718,30.1,15.9,3.5,6.1,8.5,0.068,-0.4,2.5
6,6,ORL,Jonathan Isaac,isaacjo01,Florida State,3,134,3481,1249,732,142,0.432,0.328,0.794,26,9.3,5.5,1.1,6.5,0.089,0.1,1.8
7,7,MIN,Lauri Markkanen,markkla01,Arizona,3,170,5194,2744,1291,228,0.43,0.356,0.848,30.6,16.1,7.6,1.3,8.7,0.08,-0.3,2.2
8,8,NYK,Frank Ntilikina,ntilila01,,3,178,3797,1066,385,543,0.366,0.311,0.783,21.3,6,2.2,3.1,-0.9,-0.011,-4.6,-2.5
9,9,DAL,Dennis Smith,smithde03,NC State,3,156,4094,1957,493,708,0.4,0.314,0.647,26.2,12.5,3.2,4.5,-1.6,-0.018,-2.7,-0.8
10,10,SAC,Zach Collins,colliza01,Gonzaga,3,146,2487,831,557,129,0.442,0.324,0.73,17,5.7,3.8,0.9,3.7,0.071,-2.5,-0.3
