,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
19,19,UTA,Quincy Lewis,lewisqu01,Minnesota,4,159,1853,567,210,96,0.397,0.333,0.71,11.7,3.6,1.3,0.6,0.8,0.02,-4.9,-1.4
20,20,ATL,Dion Glover,glovedi01,Georgia Tech,6,294,6132,2407,897,455,0.411,0.317,0.756,20.9,8.2,3.1,1.5,5.8,0.045,-1.8,0.3
21,21,GSW,Jeff Foster,fosteje01,Texas State University,13,764,15750,3747,5248,703,0.497,0.13,0.615,20.6,4.9,6.9,0.9,47.5,0.145,-0.4,6.3
22,22,HOU,Kenny Thomas,thomake01,New Mexico,11,632,17306,5876,4341,975,0.465,0.244,0.699,27.4,9.3,6.9,1.5,31.2,0.086,-1.3,3.1
23,23,LAL,Devean George,georgde01,Augsburg College,11,630,11682,3536,1975,543,0.392,0.343,0.721,18.5,5.6,3.1,0.9,18.2,0.075,-1.5,1.4
24,24,UTA,Andrei Kirilenko,kirilan01,,13,797,23916,9431,4352,2169,0.474,0.31,0.754,30,11.8,5.5,2.7,75.4,0.151,4.9,41.7
25,25,MIA,Tim James,jamesti01,Miami (FL),3,43,261,68,46,11,0.329,0.333,0.652,6.1,1.6,1.1,0.3,0,-0.003,-7,-0.3
26,26,IND,Vonteego Cummings,cummivo01,Pitt,3,199,3789,1381,373,534,0.383,0.321,0.726,19,6.9,1.9,2.7,2.2,0.028,-2.4,-0.3
27,27,ATL,Jumaine Jones,jonesju01,Georgia,8,471,9780,3325,1987,408,0.424,0.349,0.704,20.8,7.1,4.2,0.9,15.1,0.074,-1.2,2.1
28,28,UTA,Scott Padgett,padgesc01,Kentucky,8,448,5613,1874,1227,325,0.41,0.373,0.736,12.5,4.2,2.7,0.7,13.2,0.113,-0.4,2.3
29,29,SAS,Leon Smith,smithle01,,2,15,104,33,33,3,0.393,,0.647,6.9,2.2,2.2,0.2,0.2,0.112,-2.9,0
30,30,LAL,John Celestand,celesjo01,Villanova,1,16,185,37,11,20,0.333,0.222,0.833,11.6,2.3,0.7,1.3,-0.1,-0.038,-7.6,-0.3
31,31,LAC,Rico Hill,,Illinois State,,,,,,,,,,,,,,,,,
32,32,CHI,Michael Ruffin,ruffimi01,Tulsa,9,414,5966,716,1632,250,0.407,0,0.459,14.4,1.7,3.9,0.6,6.8,0.055,-3.3,-2
33,33,DEN,Chris Herren,herrech01,Fresno State,2,70,1005,224,73,167,0.336,0.328,0.692,14.4,3.2,1,2.4,0.5,0.025,-4.5,-0.6
34,34,NJN,Evan Eschmeyer,eschmev01,Northwestern,4,153,2138,421,601,76,0.463,,0.621,14,2.8,3.9,0.5,4,0.09,-3,-0.5
35,35,WAS,Calvin Booth,boothca01,Penn State,10,366,4477,1190,1010,151,0.451,0.222,0.748,12.2,3.3,2.8,0.4,8,0.086,-1.8,0.3
36,36,DAL,Wang Zhizhi,zhizhwa01,,5,137,1256,604,231,39,0.417,0.385,0.735,9.2,4.4,1.7,0.3,2.1,0.078,-1.6,0.1
37,37,VAN,Obinna Ekezie,ekeziob01,Maryland,4,143,1516,510,383,31,0.423,0,0.72,10.6,3.6,2.7,0.2,1.7,0.054,-5.4,-1.3
38,38,ORL,Laron Profit,profila01,Maryland,4,135,1537,441,209,166,0.419,0.236,0.712,11.4,3.3,1.5,1.2,0.7,0.021,-2.1,0
39,39,CLE,A.J. Bramlett,bramlaj01,Arizona,1,8,61,8,22,0,0.19,,,7.6,1,2.8,0,-0.2,-0.129,-15.9,-0.2
40,40,DAL,Gordan Giri?ek,giricgo01,,6,384,8824,3670,941,584,0.442,0.368,0.823,23,9.6,2.5,1.5,8,0.044,-2.5,-1.1
41,41,DEN,Francisco Elson,elsonfr01,California,9,472,7207,1726,1638,260,0.478,0.188,0.7,15.3,3.7,3.5,0.6,11.7,0.078,-2.7,-1.3
42,42,MIN,Louis Bullock,,Michigan,,,,,,,,,,,,,,,,,
43,43,CHH,Lee Nailon,nailole01,TCU,6,306,5820,2622,936,298,0.474,0.111,0.786,19,8.6,3.1,1,8,0.066,-2,0
44,44,HOU,Tyrone Washington,,Mississippi State,,,,,,,,,,,,,,,,,
45,45,SAC,Ryan Robertson,roberry01,Kansas,1,1,25,5,0,0,0.333,0,1,25,5,0,0,0,-0.022,-5.4,0
46,46,NYK,J.R. Koch,,Iowa,,,,,,,,,,,,,,,,,
47,47,PHI,Todd MacCulloch,maccuto01,Washington,4,223,3439,1369,888,121,0.541,,0.642,15.4,6.1,4,0.5,11.9,0.166,0.4,2
48,48,MIL,Galen Young,,UNC Charlotte,,,,,,,,,,,,,,,,,
49,49,CHI,Lari Ketner,ketnela01,UMass,2,25,139,34,34,2,0.406,,0.667,5.6,1.4,1.4,0.1,0,-0.015,-7.4,-0.2
50,50,HOU,Venson Hamilton,hamilve01,Nebraska,,,,,,,,,,,,,,,,,
51,51,VAN,Antwain Smith,,Saint Paul's College,,,,,,,,,,,,,,,,,
52,52,POR,Roberto Bergersen,,Boise State,,,,,,,,,,,,,,,,,
53,53,MIA,Rodney Buford,buforro01,Creighton,5,230,4182,1472,598,179,0.412,0.3,0.758,18.2,6.4,2.6,0.8,2.9,0.033,-3.8,-1.9
54,54,DET,Melvin Levett,,Cincinnati,,,,,,,,,,,,,,,,,
55,55,BOS,Kris Clack,,Texas,,,,,,,,,,,,,,,,,
56,56,GSW,Tim Young,youngti01,Stanford,1,25,137,54,35,5,0.333,,0.778,5.5,2.2,1.4,0.2,0.2,0.058,-4.9,-0.1
57,57,SAS,Manu Ginóbili,ginobma01,,16,1057,26859,14043,3697,4001,0.447,0.369,0.827,25.4,13.3,3.5,3.8,106.4,0.19,5,47.6
58,58,UTA,Eddie Lucas,,Virginia Tech,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
