,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
41,41,MIN,Chris Richard,richach01,Florida,2,70,780,135,194,25,0.483,,0.605,11.1,1.9,2.8,0.4,0.7,0.045,-5.7,-0.7
42,42,POR,Derrick Byars,byarsde01,Vanderbilt,1,2,37,10,11,1,0.273,0,1,18.5,5,5.5,0.5,0.1,0.147,-4.7,0
43,43,NOK,Adam Haluska,,Iowa,,,,,,,,,,,,,,,,,
44,44,ORL,Reyshawn Terry,,UNC,,,,,,,,,,,,,,,,,
45,45,LAC,Jared Jordan,,Marist College,,,,,,,,,,,,,,,,,
46,46,GSW,Stéphane Lasme,lasmest01,UMass,1,16,303,83,53,3,0.451,,0.594,18.9,5.2,3.3,0.2,0.3,0.041,-4.4,-0.2
47,47,WAS,Dominic McGuire,mcguido01,Fresno State,6,342,5348,939,1169,422,0.419,0.188,0.658,15.6,2.7,3.4,1.2,4.1,0.037,-2.1,-0.1
48,48,LAL,Marc Gasol,gasolma01,,12,831,27555,12196,6342,2864,0.482,0.356,0.777,33.2,14.7,7.6,3.4,82.2,0.143,3.1,35.4
49,49,CHI,Aaron Gray,grayaa01,Pitt,7,318,3851,1066,1190,207,0.509,0,0.562,12.1,3.4,3.7,0.7,6.2,0.077,-3.6,-1.5
50,50,DAL,Renaldas Seibutis,seibure01,,,,,,,,,,,,,,,,,,
51,51,CHI,JamesOn Curry,curryja01,Oklahoma State,1,1,0,0,0,0,,,,0,0,0,0,0,,,0
52,52,POR,Taurean Green,greenta01,Florida,1,17,74,27,10,11,0.28,0.182,0.917,4.4,1.6,0.6,0.6,-0.1,-0.066,-7.5,-0.1
53,53,POR,Demetris Nichols,nichode01,Syracuse,2,18,58,22,7,2,0.281,0.2,0.5,3.2,1.2,0.4,0.1,-0.2,-0.203,-10.3,-0.1
54,54,HOU,Brad Newley,newlebr01,,,,,,,,,,,,,,,,,,
55,55,UTA,Herbert Hill,,Providence,,,,,,,,,,,,,,,,,
56,56,MIL,Ramon Sessions,sessira01,Nevada,11,691,16119,7141,1840,2807,0.434,0.316,0.791,23.3,10.3,2.7,4.1,28.8,0.086,-0.7,5.2
57,57,DET,Sammy Mejia,,DePaul,,,,,,,,,,,,,,,,,
58,58,SAS,Georgios Printezis,printgi01,,,,,,,,,,,,,,,,,,
59,59,PHO,D.J. Strawberry,strawdj01,Maryland,1,33,270,73,28,30,0.315,0.24,0.474,8.2,2.2,0.8,0.9,-0.2,-0.031,-5.6,-0.2
60,60,DAL,Milovan Rakovi?,rakovmi01,,,,,,,,,,,,,,,,,,
