,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
27,27,NJN,Jordan Crawford,crawfjo02,Xavier,6,281,6843,3432,703,883,0.411,0.317,0.826,24.4,12.2,2.5,3.1,6.3,0.044,-1.3,1.3
28,28,MEM,Greivis V·squez,vasqugr01,Maryland,7,401,9520,3591,1021,1935,0.418,0.349,0.817,23.7,9,2.5,4.8,12.6,0.064,-1.2,1.9
29,29,ORL,Daniel Orton,ortonda01,Kentucky,3,51,542,143,126,24,0.485,0,0.597,10.6,2.8,2.5,0.5,1,0.093,-3.5,-0.2
30,30,WAS,Lazar Hayward,haywala01,Marquette,3,72,591,207,90,35,0.347,0.269,0.767,8.2,2.9,1.3,0.5,0.2,0.02,-4.2,-0.3
31,31,NJN,Tibor Pleiﬂ,pleisti01,,1,12,82,24,15,2,0.44,0,1,6.8,2,1.3,0.2,-0.1,-0.041,-11.6,-0.2
32,32,MIA,Dexter Pittman,pittmde01,Texas,4,50,347,116,89,9,0.45,,0.545,6.9,2.3,1.8,0.2,0.5,0.068,-7.7,-0.5
33,33,SAC,Hassan Whiteside,whiteha01,Marshall,8,404,10840,5576,4778,277,0.582,0.32,0.606,26.8,13.8,11.8,0.7,44.9,0.199,2.8,13.2
34,34,POR,Armon Johnson,johnsar02,Nevada,2,47,401,157,49,56,0.458,0.4,0.679,8.5,3.3,1,1.2,-0.1,-0.015,-4.1,-0.2
35,35,WAS,Nemanja Bjelica,bjeline01,,5,333,7245,2665,1584,574,0.465,0.393,0.77,21.8,8,4.8,1.7,15.4,0.102,0.3,4.2
36,36,DET,Terrico White,,Ole Miss,,,,,,,,,,,,,,,,,
37,37,MIL,Darington Hobson,hobsoda01,New Mexico,1,5,39,4,3,6,0.154,0,,7.8,0.8,0.6,1.2,-0.2,-0.225,-13,-0.1
38,38,NYK,Andy Rautins,rautian01,Syracuse,1,5,24,8,1,3,0.429,0.25,0.5,4.8,1.6,0.2,0.6,-0.2,-0.314,-13.2,-0.1
39,39,NYK,Landry Fields,fieldla01,Stanford,5,255,6010,1731,1092,419,0.473,0.332,0.666,23.6,6.8,4.3,1.6,10.5,0.084,-0.3,2.6
40,40,IND,Lance Stephenson,stephla01,Cincinnati,9,508,11866,4354,2124,1456,0.444,0.315,0.685,23.4,8.6,4.2,2.9,16.7,0.068,-1.2,2.5
41,41,MIA,Jarvis Varnado,varnaja01,Mississippi State,2,37,397,107,72,16,0.582,,0.518,10.7,2.9,1.9,0.4,0.7,0.089,-3.3,-0.1
42,42,MIA,Da'Sean Butler,,West Virginia,,,,,,,,,,,,,,,,,
43,43,LAL,Devin Ebanks,ebankde01,West Virginia,3,63,711,224,122,24,0.385,0.222,0.722,11.3,3.6,1.9,0.4,0.5,0.035,-4.8,-0.5
44,44,MIL,Jerome Jordan,jordaje01,Tulsa,2,65,491,180,132,17,0.528,,0.852,7.6,2.8,2,0.3,1.7,0.168,-1,0.1
45,45,MIN,Paulo Prestes,prestpa01,,,,,,,,,,,,,,,,,,
46,46,PHO,Gani Lawal,lawalga01,Georgia Tech,1,1,2,0,0,0,,,,2,0,0,0,0,-0.009,-15,0
47,47,MIL,Tiny Gallon,,Oklahoma,,,,,,,,,,,,,,,,,
48,48,MIA,Latavious Williams,willila01,,,,,,,,,,,,,,,,,,
49,49,SAS,Ryan Richards,richary01,,,,,,,,,,,,,,,,,,
50,50,DAL,Solomon Alabi,alabiso01,Florida State,2,26,181,39,61,5,0.314,,0.7,7,1.5,2.3,0.2,0,0.01,-4.4,-0.1
51,51,OKC,Magnum Rolle,,Louisiana Tech,,,,,,,,,,,,,,,,,
52,52,BOS,Luke Harangody,haranlu01,Notre Dame,2,70,871,253,196,36,0.376,0.241,0.737,12.4,3.6,2.8,0.5,0.9,0.048,-3.5,-0.3
53,53,ATL,Pape Sy,sypa01,,1,3,21,7,3,2,0.333,0,1,7,2.3,1,0.7,0,-0.047,-6,0
54,54,LAC,Willie Warren,warrewi01,Oklahoma,1,19,134,37,12,27,0.371,0.333,0.75,7.1,1.9,0.6,1.4,0.2,0.065,-2.7,0
55,55,UTA,Jeremy Evans,evansje01,Western Kentucky,7,250,2626,879,641,107,0.569,0.231,0.687,10.5,3.5,2.6,0.4,8.2,0.15,0.9,1.9
56,56,MIN,Hamady N'Diaye,ndiayha01,Rutgers University,3,33,157,20,25,3,0.467,,0.462,4.8,0.6,0.8,0.1,0,0.013,-7.3,-0.2
57,57,IND,Ryan Reid,reidry01,Florida State,1,5,17,8,2,0,0.8,,,3.4,1.6,0.4,0,0.1,0.142,-2,0
58,58,LAL,Derrick Caracter,caracde01,Texas-El Paso,1,41,215,81,43,7,0.485,,0.739,5.2,2,1,0.2,0.3,0.057,-7.1,-0.3
59,59,ORL,Stanley Robinson,,UConn,,,,,,,,,,,,,,,,,
60,60,PHO,Dwayne Collins,collidw01,Miami (FL),,,,,,,,,,,,,,,,,
