,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,username,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,WAS,John Wall,walljo01,Kentucky,9,573,20545,10879,2483,5282,0.433,0.324,0.781,35.9,19,4.3,9.2,44.3,0.104,2.6,23.6
2,2,PHI,Evan Turner,turneev01,Ohio State,10,705,18938,6824,3278,2462,0.434,0.294,0.782,26.9,9.7,4.6,3.5,20.2,0.051,-1.9,0.5
3,3,NJN,Derrick Favors,favorde01,Georgia Tech,10,677,17356,7735,4992,776,0.53,0.207,0.662,25.6,11.4,7.4,1.1,53.3,0.147,0.9,12.7
4,4,MIN,Wesley Johnson,johnswe01,Syracuse,9,609,13472,4235,1924,645,0.404,0.337,0.741,22.1,7,3.2,1.1,10.7,0.038,-1.6,1.2
5,5,SAC,DeMarcus Cousins,couside01,Kentucky,9,565,18078,12006,6131,1832,0.461,0.332,0.737,32,21.2,10.9,3.2,44.1,0.117,2.6,21.1
6,6,GSW,Ekpe Udoh,udohek01,Baylor,7,384,5694,1353,1100,260,0.453,0,0.718,14.8,3.5,2.9,0.7,10.4,0.088,-1.4,0.8
7,7,DET,Greg Monroe,monrogr01,Georgetown,9,632,17475,8326,5229,1354,0.514,0.059,0.704,27.7,13.2,8.3,2.1,49.7,0.136,1.4,15.2
8,8,LAC,Al-Farouq Aminu,aminual01,Wake Forest,10,688,17264,5248,4170,848,0.421,0.335,0.745,25.1,7.6,6.1,1.2,27.5,0.076,-0.5,6.6
9,9,UTA,Gordon Hayward,haywago01,Butler,10,634,19533,9682,2766,2191,0.451,0.366,0.822,30.8,15.3,4.4,3.5,52.9,0.13,2.2,20.8
10,10,IND,Paul George,georgpa01,Fresno State,10,646,21646,12863,4132,2162,0.433,0.38,0.846,33.5,19.9,6.4,3.3,69.1,0.153,4.1,33.1
11,11,NOH,Cole Aldrich,aldrico01,Kansas,8,339,3389,1050,1131,183,0.527,,0.738,10,3.1,3.3,0.5,9.6,0.135,0.1,1.8
12,12,MEM,Xavier Henry,henryxa01,Kansas,5,185,2905,1050,351,120,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013,-4.4,-1.7
13,13,TOR,Ed Davis,davised01,UNC,10,665,13221,4197,4427,507,0.568,0,0.583,19.9,6.3,6.7,0.8,41.7,0.151,-0.1,6.2
14,14,HOU,Patrick Patterson,pattepa01,Kentucky,10,673,14172,4527,2694,697,0.448,0.369,0.752,21.1,6.7,4,1,30.2,0.102,0,7.1
15,15,MIL,Larry Sanders,sandela01,Virginia Commonwealth,6,238,4635,1520,1345,174,0.48,0,0.553,19.5,6.4,5.7,0.7,10.3,0.107,-1.1,1.1
16,16,MIN,Luke Babbitt,babbilu01,Nevada,8,381,5332,1818,846,224,0.408,0.402,0.747,14,4.8,2.2,0.6,7.2,0.065,-2.1,-0.1
17,17,CHI,Kevin SÈraphin,serapke01,,7,423,6430,2516,1462,246,0.489,0,0.715,15.2,5.9,3.5,0.6,5.9,0.044,-4.3,-3.6
18,18,OKC,Eric Bledsoe,bledser01,Kentucky,10,626,17427,8899,2488,3026,0.457,0.337,0.795,27.8,14.2,4,4.8,42.3,0.117,2.2,18.5
19,19,BOS,Avery Bradley,bradlav01,Texas,10,571,16143,6712,1670,1012,0.436,0.364,0.78,28.3,11.8,2.9,1.8,16.2,0.048,-2.2,-0.7
20,20,SAS,James Anderson,anderja01,Oklahoma State,5,247,4320,1422,560,291,0.411,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037,-2.7,-0.8
21,21,OKC,Craig Brackins,brackcr01,Iowa State,2,17,121,30,19,9,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.089,-9.9,-0.2
22,22,POR,Elliot Williams,williel01,Memphis,4,109,1470,537,161,94,0.421,0.31,0.669,13.5,4.9,1.5,0.9,0.7,0.024,-4.9,-1.1
23,23,MIN,Trevor Booker,booketr01,Clemson,8,532,10872,3679,2932,566,0.515,0.305,0.636,20.4,6.9,5.5,1.1,26.2,0.116,-0.5,4.2
24,24,ATL,Damion James,jamesda01,Texas,4,39,623,150,131,26,0.415,0,0.667,16,3.8,3.4,0.7,0,-0.001,-3.7,-0.3
25,25,MEM,Dominique Jones,jonesdo02,South Florida,3,80,741,246,114,144,0.366,0.095,0.729,9.3,3.1,1.4,1.8,0.3,0.017,-2.4,-0.1
26,26,OKC,Quincy Pondexter,pondequ01,Washington,7,355,5530,1609,640,263,0.423,0.356,0.746,15.6,4.5,1.8,0.7,9.7,0.084,-1.8,0.3
