,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
18,18,HOU,Mirsad Türkcan,turkcmi01,,1,17,90,33,33,5,0.368,0,0.625,5.3,1.9,1.9,0.3,0,-0.019,-6.3,-0.1
19,19,MIL,Pat Garrity,garripa01,Notre Dame,10,552,11062,4017,1457,443,0.417,0.398,0.806,20,7.3,2.6,0.8,18.7,0.081,-1.8,0.4
20,20,ATL,Roshown McLeod,mcleoro01,Duke,3,113,2130,817,308,124,0.409,0.111,0.819,18.8,7.2,2.7,1.1,0.2,0.004,-4.4,-1.3
21,21,CHH,Ricky Davis,davisri01,Iowa,12,736,21927,9912,2550,2426,0.446,0.361,0.781,29.8,13.5,3.5,3.3,28,0.061,-0.8,6.3
22,22,LAC,Brian Skinner,skinnbr01,Baylor,14,608,10910,2876,2841,288,0.494,0.333,0.566,17.9,4.7,4.7,0.5,15.8,0.07,-2.5,-1.5
23,23,DEN,Tyronn Lue,luety01,Nebraska,11,554,12564,4710,943,1727,0.437,0.391,0.829,22.7,8.5,1.7,3.1,19.7,0.075,-1.8,0.6
24,24,SAS,Felipe López,lopezfe01,St. John's,4,249,4145,1448,604,252,0.432,0.327,0.659,16.6,5.8,2.4,1,3.1,0.036,-2.5,-0.5
25,25,IND,Al Harrington,harrial01,,16,981,28009,13237,5482,1649,0.444,0.352,0.727,28.6,13.5,5.6,1.7,42.5,0.073,-1.5,3.7
26,26,LAL,Sam Jacobson,jacobsa01,Minnesota,3,68,752,283,80,36,0.511,0.36,0.739,11.1,4.2,1.2,0.5,1.1,0.071,-3.9,-0.4
27,27,SEA,Vladimir Stepania,stepavl01,,6,270,3726,1118,1180,94,0.425,0.133,0.536,13.8,4.1,4.4,0.3,5.2,0.067,-3.3,-1.2
28,28,CHI,Corey Benjamin,benjaco01,Oregon State,4,153,2191,835,259,143,0.39,0.289,0.652,14.3,5.5,1.7,0.9,-0.9,-0.019,-4.8,-1.6
29,29,UTA,Nazr Mohammed,mohamna01,Kentucky,18,1005,15891,5827,4708,375,0.486,0,0.64,15.8,5.8,4.7,0.4,34.3,0.104,-2.6,-2.2
30,30,DAL,Ansu Sesay,sesayan01,Ole Miss,4,127,1301,401,223,62,0.434,0.276,0.64,10.2,3.2,1.8,0.5,1.4,0.051,-3.3,-0.4
31,31,LAL,Ruben Patterson,patteru01,Cincinnati,10,649,15955,6953,2697,1150,0.517,0.179,0.641,24.6,10.7,4.2,1.8,35.1,0.106,0.7,10.8
32,32,SEA,Rashard Lewis,lewisra02,,16,1049,33541,15579,5433,1765,0.452,0.386,0.805,32,14.9,5.2,1.7,90.9,0.13,1.9,33.1
33,33,SEA,Jelani McCoy,mccoyje01,UCLA,8,260,3824,1200,921,135,0.539,,0.49,14.7,4.6,3.5,0.5,5.1,0.064,-2.9,-0.9
34,34,CHI,Shammond Williams,willish01,UNC,7,325,5351,1892,518,765,0.401,0.366,0.798,16.5,5.8,1.6,2.4,8.8,0.079,-0.7,1.7
35,35,DAL,Bruno Šundov,sundobr01,,7,102,524,173,107,18,0.356,0.208,0.526,5.1,1.7,1,0.2,-0.7,-0.062,-8.9,-0.9
36,36,SAC,Jerome James,jamesje01,Florida A&M,9,358,4771,1540,1099,118,0.485,0,0.617,13.3,4.3,3.1,0.3,2.9,0.029,-4.9,-3.5
37,37,PHI,Casey Shaw,shawca01,Toledo,1,9,14,2,3,0,0.125,,,1.6,0.2,0.3,0,-0.1,-0.498,-29.8,-0.1
38,38,NYK,DeMarco Johnson,johnsde02,UNC Charlotte,1,5,37,6,7,0,0.333,,,7.4,1.2,1.4,0,-0.1,-0.091,-10.3,-0.1
39,39,MIL,Rafer Alston,alstora01,Fresno State,11,671,19392,6799,1891,3202,0.383,0.354,0.729,28.9,10.1,2.8,4.8,32.9,0.081,0,9.6
40,40,DET,Korleone Young,youngko01,,1,3,15,13,4,1,0.5,0.25,1,5,4.3,1.3,0.3,0.1,0.28,9.4,0
41,41,HOU,Cuttino Mobley,moblecu01,Rhode Island,11,747,27618,11964,2902,2015,0.433,0.378,0.835,37,16,3.9,2.7,52.2,0.091,-0.1,12.9
42,42,ORL,Miles Simon,simonmi01,Arizona,1,5,19,2,2,0,0.2,0,,3.8,0.4,0.4,0,-0.1,-0.289,-17.4,-0.1
43,43,WAS,Jahidi White,whiteja01,Georgetown,7,334,5913,1954,1944,63,0.51,0,0.534,17.7,5.9,5.8,0.2,10.4,0.085,-3.2,-1.8
44,44,NYK,Sean Marks,marksse01,California,11,230,2275,638,501,50,0.448,0.2,0.665,9.9,2.8,2.2,0.2,2.6,0.055,-5,-1.7
45,45,LAL,Toby Bailey,baileto01,UCLA,2,73,698,241,126,43,0.407,0.2,0.692,9.6,3.3,1.7,0.6,1,0.072,-3.5,-0.3
46,46,MIN,Andrae Patterson,pattean01,Indiana,2,40,304,120,67,16,0.455,0,0.778,7.6,3,1.7,0.4,0.7,0.114,-1.9,0
47,47,TOR,Tyson Wheeler,wheelty01,Rhode Island,1,1,3,4,0,2,1,1,0.5,3,4,0,2,0.1,1.367,51.1,0
48,48,CLE,Ryan Stack,stackry01,South Carolina,2,43,397,99,79,10,0.352,0,0.787,9.2,2.3,1.8,0.2,0.2,0.028,-6.7,-0.5
49,49,ATL,Cory Carr,carrco01,Texas Tech,1,42,624,171,49,66,0.329,0.167,0.75,14.9,4.1,1.2,1.6,-1.2,-0.089,-8.2,-1
50,50,CHH,Andrew Betts,,Cal State Long Beach,,,,,,,,,,,,,,,,,
51,51,MIA,Corey Brewer,,Oklahoma,,,,,,,,,,,,,,,,,
52,52,SAS,Derrick Dial,dialde01,Eastern Michigan,4,82,687,253,133,63,0.372,0.19,0.672,8.4,3.1,1.6,0.8,0.6,0.045,-2.1,0
53,53,DAL,Greg Buckner,buckngr01,Clemson,10,570,10895,2878,1593,719,0.45,0.334,0.757,19.1,5,2.8,1.3,20.9,0.092,-0.9,2.9
54,54,DEN,Tremaine Fowlkes,fowlktr01,Fresno State,4,103,1233,301,228,54,0.409,0.2,0.791,12,2.9,2.2,0.5,2.1,0.08,-2,0
55,55,DEN,Ryan Bowen,bowenry01,Iowa,10,507,6502,1319,1060,250,0.456,0.206,0.693,12.8,2.6,2.1,0.5,12.4,0.092,-0.8,2
56,56,VAN,J.R. Henderson,hendejr01,UCLA,1,30,331,97,47,22,0.365,0.4,0.556,11,3.2,1.6,0.7,-0.2,-0.025,-4.8,-0.2
57,57,UTA,Torraye Braggs,braggto01,Xavier,2,22,178,46,51,7,0.475,,0.667,8.1,2.1,2.3,0.3,0.3,0.071,-4.9,-0.1
58,58,CHI,Maceo Baston,bastoma01,Michigan,4,105,831,286,175,26,0.616,0.375,0.74,7.9,2.7,1.7,0.2,2.3,0.134,-1.2,0.2
,,,,,,,,,,,,,,,,,,,,,,
