,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,username,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,LAC,Michael Olowokandi,olowomi01,University of the Pacific,9,500,13129,4135,3414,327,0.435,,0.597,26.3,8.3,6.8,0.7,2.5,0.009,-4.6,-8.5
2,2,VAN,Mike Bibby,bibbymi01,Arizona,14,1001,33962,14698,3103,5517,0.436,0.379,0.802,33.9,14.7,3.1,5.5,73.2,0.104,0.8,23.8
3,3,DEN,Raef LaFrentz,lafrera01,Kansas,10,563,14545,5690,3423,606,0.466,0.363,0.711,25.8,10.1,6.1,1.1,39.4,0.13,0.7,9.8
4,4,TOR,Antawn Jamison,jamisan01,UNC,16,1083,37638,20042,8157,1761,0.451,0.346,0.724,34.8,18.5,7.5,1.6,87.8,0.112,0.6,24.5
5,5,GSW,Vince Carter,cartevi01,UNC,22,1541,46367,25728,6606,4714,0.435,0.371,0.798,30.1,16.7,4.3,3.1,125.3,0.13,3,57.9
6,6,DAL,Robert Traylor,traylro01,Michigan,7,438,6243,2085,1640,312,0.474,0.167,0.577,14.3,4.8,3.7,0.7,13.3,0.102,-1.6,0.7
7,7,SAC,Jason Williams,willija02,Florida,12,788,23188,8266,1810,4611,0.398,0.327,0.813,29.4,10.5,2.3,5.9,38.5,0.08,0.2,12.9
8,8,PHI,Larry Hughes,hughela01,Saint Louis,13,727,22368,10242,3039,2290,0.406,0.309,0.757,30.8,14.1,4.2,3.1,32.3,0.069,-0.1,10.7
9,9,MIL,Dirk Nowitzki,nowitdi01,,21,1522,51368,31560,11489,3651,0.471,0.38,0.879,33.8,20.7,7.5,2.4,206.3,0.193,4.5,84.8
10,10,BOS,Paul Pierce,piercpa01,Kansas,19,1343,45880,26397,7527,4708,0.445,0.368,0.806,34.2,19.7,5.6,3.5,150,0.157,3.7,65.5
11,11,DET,Bonzi Wells,wellsbo01,Ball State University,10,591,15133,7147,2737,1249,0.46,0.327,0.697,25.6,12.1,4.6,2.1,29.4,0.093,0.2,8.3
12,12,ORL,Michael Doleac,doleami01,Utah,10,587,8789,2882,1955,343,0.439,0.125,0.791,15,4.9,3.3,0.6,12.7,0.07,-3.7,-3.7
13,13,ORL,Keon Clark,clarkke01,UNLV,6,353,7971,2882,2096,322,0.5,0.053,0.645,22.6,8.2,5.9,0.9,18.2,0.11,-0.7,2.6
14,14,HOU,Michael Dickerson,dickemi01,Arizona,5,212,7490,3257,609,553,0.432,0.402,0.784,35.3,15.4,2.9,2.6,9.6,0.061,-1.3,1.3
15,15,ORL,Matt Harpring,harprma01,Georgia Tech,11,665,17584,7645,3366,907,0.481,0.333,0.753,26.4,11.5,5.1,1.4,41.9,0.114,-0.6,6.2
16,16,HOU,Bryce Drew,drewbr01,Valparaiso,6,243,3970,1081,295,524,0.382,0.371,0.83,16.3,4.4,1.2,2.2,2.4,0.03,-3.1,-1.1
17,17,MIN,Rasho Nesterovi?,nestera01,,12,811,17983,5519,4143,836,0.502,0.077,0.585,22.2,6.8,5.1,1,39.9,0.107,-0.9,5
