,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,username,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
36,36,MIL,Johnny O'Bryant,obryajo01,LSU,4,147,1684,509,352,69,0.402,0.36,0.663,11.5,3.5,2.4,0.5,0.2,0.006,-6.2,-1.8
37,37,TOR,DeAndre Daniels,daniede01,UConn,,,,,,,,,,,,,,,,,
38,38,DET,Spencer Dinwiddie,dinwisp01,Colorado,6,317,8162,4103,875,1578,0.41,0.318,0.793,25.7,12.9,2.8,5,18.6,0.109,0.3,4.8
39,39,PHI,Jerami Grant,grantje01,Syracuse,6,447,10909,4111,1727,475,0.463,0.348,0.666,24.4,9.2,3.9,1.1,22.3,0.098,-0.9,3.1
40,40,MIN,Glenn Robinson,robingl02,Michigan,6,279,4887,1664,721,218,0.459,0.372,0.769,17.5,6,2.6,0.8,7.5,0.074,-1.5,0.6
41,41,DEN,Nikola Joki?,jokicni01,,5,373,10819,6319,3609,2032,0.524,0.338,0.825,29,16.9,9.7,5.4,48,0.213,7.1,25
42,42,HOU,Nick Johnson,johnsni01,Arizona,1,28,262,74,39,11,0.347,0.238,0.68,9.4,2.6,1.4,0.4,-0.1,-0.02,-6.5,-0.3
43,43,ATL,Edy Tavares,tavarwa01,,2,13,101,33,32,4,0.625,,0.273,7.8,2.5,2.5,0.3,0.2,0.118,-0.4,0
44,44,MIN,Markel Brown,brownma02,Oklahoma State,3,113,1794,584,234,132,0.38,0.295,0.781,15.9,5.2,2.1,1.2,1.1,0.029,-2.9,-0.4
45,45,CHH,Dwight Powell,poweldw01,Stanford,6,371,6956,2867,1711,364,0.563,0.293,0.739,18.7,7.7,4.6,1,26.1,0.18,1.5,6.1
46,46,WAS,Jordan Clarkson,clarkjo01,Missouri,6,445,12054,6573,1404,1152,0.447,0.341,0.818,27.1,14.8,3.2,2.6,14,0.056,-0.7,3.9
47,47,PHI,Russ Smith,smithru01,Louisville,2,27,131,53,15,19,0.319,0.188,0.769,4.9,2,0.6,0.7,-0.2,-0.068,-5.1,-0.1
48,48,MIL,Lamar Patterson,pattela01,Pitt,2,40,435,93,57,45,0.326,0.236,0.72,10.9,2.3,1.4,1.1,0.1,0.006,-5.7,-0.4
49,49,CHI,Cameron Bairstow,bairsca01,New Mexico,2,36,167,44,36,7,0.296,0.2,0.846,4.6,1.2,1,0.2,-0.1,-0.021,-8.1,-0.3
50,50,PHO,Alec Brown,brownal01,Green Bay,,,,,,,,,,,,,,,,,
51,51,NYK,Thanasis Antetokounmpo,antetth01,,2,20,99,51,20,9,0.55,0,0.467,5,2.6,1,0.5,0.2,0.095,-1.8,0
52,52,PHI,Vasilije Mici?,micicva01,,,,,,,,,,,,,,,,,,
53,53,MIN,Alessandro Gentile,gential01,,,,,,,,,,,,,,,,,,
54,54,PHI,Nemanja Dangubi?,dangune01,,,,,,,,,,,,,,,,,,
55,55,MIA,Semaj Christon,chrisse01,Xavier,1,64,973,183,87,130,0.345,0.19,0.548,15.2,2.9,1.4,2,0.1,0.006,-5.1,-0.8
56,56,DEN,Devyn Marble,marblde01,Iowa,2,44,457,97,69,29,0.304,0.222,0.375,10.4,2.2,1.6,0.7,-0.3,-0.028,-5.5,-0.4
57,57,IND,Louis Labeyrie,labeylo01,,,,,,,,,,,,,,,,,,
58,58,SAS,Jordan McRae,mcraejo01,Tennessee,4,123,1696,846,225,167,0.417,0.355,0.772,13.8,6.9,1.8,1.4,1.7,0.048,-2.1,0
59,59,TOR,Xavier Thames,thamexa01,San Diego State,,,,,,,,,,,,,,,,,
60,60,SAS,Cory Jefferson,jeffeco01,Baylor,2,58,581,205,161,16,0.444,0.125,0.583,10,3.5,2.8,0.3,0.9,0.071,-3.3,-0.2
