,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
16,16,UTA,Kirk Snyder,snydeki01,Nevada,4,211,3540,1333,491,241,0.438,0.327,0.699,16.8,6.3,2.3,1.1,4.5,0.061,-1.2,0.7
17,17,ATL,Josh Smith,smithjo03,,13,894,29000,12996,6653,2789,0.452,0.285,0.632,32.4,14.5,7.4,3.1,51,0.084,1.7,27.2
18,18,NOH,J.R. Smith,smithjr01,,15,971,26196,12131,3068,2074,0.419,0.373,0.732,27,12.5,3.2,2.1,46.4,0.085,0.2,14.8
19,19,MIA,Dorell Wright,wrighdo01,,11,549,12280,4597,2093,850,0.424,0.365,0.806,22.4,8.4,3.8,1.5,25.9,0.101,0.9,9.1
20,20,DEN,Jameer Nelson,nelsoja01,Saint Joseph's,14,878,24539,9940,2595,4508,0.436,0.368,0.81,27.9,11.3,3,5.1,48.3,0.094,-0.1,11.6
21,21,UTA,Pavel Podkolzin,podkopa01,,2,6,28,4,9,0,0,,0.5,4.7,0.7,1.5,0,-0.1,-0.163,-15,-0.1
22,22,NJN,Viktor Khryapa,khryavi01,,4,143,2351,643,492,142,0.443,0.292,0.658,16.4,4.5,3.4,1,2,0.041,-3.5,-0.9
23,23,POR,Sergei Monia,moniase01,,1,26,343,77,52,19,0.333,0.265,0.714,13.2,3,2,0.7,-0.2,-0.025,-5.3,-0.3
24,24,BOS,Delonte West,westde01,Saint Joseph's,8,432,11842,4198,1265,1540,0.448,0.372,0.826,27.4,9.7,2.9,3.6,24.5,0.099,0.9,8.7
25,25,BOS,Tony Allen,allento01,Oklahoma State,14,820,18055,6654,2884,1077,0.475,0.282,0.709,22,8.1,3.5,1.3,38.7,0.103,0.3,10.4
26,26,SAC,Kevin Martin,martike02,Western Carolina University,12,714,21559,12396,2278,1352,0.437,0.384,0.87,30.2,17.4,3.2,1.9,61.3,0.137,1,16.1
27,27,LAL,Sasha Vuja?i?,vujacsa01,,10,581,8908,3094,1093,748,0.39,0.367,0.858,15.3,5.3,1.9,1.3,16,0.086,-1,2.3
28,28,SAS,Beno Udrih,udrihbe01,,13,831,18185,6952,1712,2858,0.463,0.349,0.833,21.9,8.4,2.1,3.4,31.4,0.083,-0.9,4.9
29,29,IND,David Harrison,harrida01,Colorado,4,189,2686,949,549,47,0.53,,0.525,14.2,5,2.9,0.2,3.2,0.057,-4.4,-1.7
30,30,ORL,Anderson Varejão,varejan01,,13,627,15051,4561,4511,734,0.51,0.024,0.631,24,7.3,7.2,1.2,46.4,0.148,0.3,8.9
31,31,CHI,Jackson Vroman,vromaja01,Iowa State,2,87,1111,285,261,51,0.408,0,0.58,12.8,3.3,3,0.6,0,0.001,-5.1,-0.9
32,32,WAS,Peter John Ramos,ramospe01,,1,6,20,11,4,0,0.5,,0.5,3.3,1.8,0.7,0,0,-0.108,-10,0
33,33,LAC,Lionel Chalmers,chalmli01,Xavier,1,36,433,111,31,51,0.336,0.245,0.625,12,3.1,0.9,1.4,-0.2,-0.025,-5.3,-0.4
34,34,ATL,Donta Smith,smithdo04,Southeastern Illinois College,2,61,560,165,66,48,0.421,0.308,0.65,9.2,2.7,1.1,0.8,0.5,0.043,-3.2,-0.2
35,35,SEA,Andre Emmett,emmetan01,Texas Tech,2,14,73,20,8,1,0.462,0,0.615,5.2,1.4,0.6,0.1,0.1,0.04,-5.5,-0.1
36,36,ORL,Antonio Burks,burksan01,Memphis,2,81,789,186,49,104,0.387,0.235,0.571,9.7,2.3,0.6,1.3,0.1,0.004,-5,-0.6
37,37,ATL,Royal Ivey,iveyro01,Texas,10,492,6162,1641,557,501,0.406,0.361,0.706,12.5,3.3,1.1,1,4.5,0.035,-3.8,-2.7
38,38,CHI,Chris Duhon,duhonch01,Duke,9,606,15526,3946,1364,2690,0.393,0.363,0.784,25.6,6.5,2.3,4.4,25,0.077,-1.2,3.2
39,39,TOR,Albert Miralles,miralal01,,,,,,,,,,,,,,,,,,
40,40,BOS,Justin Reed,reedju01,Ole Miss,3,136,1436,472,186,68,0.404,0,0.752,10.6,3.5,1.4,0.5,0.5,0.016,-5.9,-1.4
41,41,SEA,David Young,,NC Central,,,,,,,,,,,,,,,,,
42,42,ATL,Viktor Sanikidze,sanikvi01,,,,,,,,,,,,,,,,,,
43,43,NYK,Trevor Ariza,arizatr01,UCLA,16,1064,31650,11215,5130,2297,0.423,0.352,0.732,29.7,10.5,4.8,2.2,62.6,0.095,0.7,21.8
44,44,NOH,Tim Pickett,,Florida State,,,,,,,,,,,,,,,,,
45,45,CHA,Bernard Robinson,robinbe01,Michigan,3,128,1909,576,315,126,0.417,0.161,0.786,14.9,4.5,2.5,1,2,0.049,-2.1,0
46,46,POR,Ha Seung-Jin,seungha01,,2,46,316,70,67,3,0.519,,0.5,6.9,1.5,1.5,0.1,-0.2,-0.029,-8.8,-0.5
47,47,MIA,Pape Sow,sowpa01,California State University Fullerton,3,76,879,219,214,12,0.416,,0.678,11.6,2.9,2.8,0.2,0.8,0.044,-5.7,-0.8
48,48,SAC,Ricky Minard,,Morehead State University,,,,,,,,,,,,,,,,,
49,49,MEM,Sergei Lishouk,lishcse01,,,,,,,,,,,,,,,,,,
50,50,DAL,Vassilis Spanoulis,spanova01,,1,31,272,85,22,28,0.319,0.172,0.81,8.8,2.7,0.7,0.9,-0.1,-0.01,-5.9,-0.3
51,51,NJN,Christian Drejer,,Florida,,,,,,,,,,,,,,,,,
52,52,SAS,Romain Sato,,Xavier,,,,,,,,,,,,,,,,,
53,53,MIA,Matt Freije,freijma01,Vanderbilt,2,42,588,133,85,27,0.293,0.224,0.714,14,3.2,2,0.6,-0.6,-0.047,-6,-0.6
54,54,DET,Rickey Paulding,,Missouri,,,,,,,,,,,,,,,,,
55,55,HOU,Luis Flores,florelu01,Manhattan College,1,16,77,35,3,11,0.483,0.5,1,4.8,2.2,0.2,0.7,0,-0.02,-4.8,0
56,56,LAL,Marcus Douthit,,Providence,,,,,,,,,,,,,,,,,
57,57,SAS,Sergei Karaulov,karause01,,,,,,,,,,,,,,,,,,
58,58,MIN,Blake Stepp,,Gonzaga,,,,,,,,,,,,,,,,,
59,59,IND,Rashad Wright,,Georgia,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
