,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
25,25,HOU,Nicolas Batum,batumni01,,12,789,24733,9118,4137,2967,0.434,0.357,0.841,31.3,11.6,5.2,3.8,54.7,0.106,1.6,22.6
26,26,SAS,George Hill,hillge01,IUPUI,12,778,21574,8662,2407,2475,0.457,0.385,0.803,27.7,11.1,3.1,3.2,65,0.145,1.5,18.9
27,27,NOH,Darrell Arthur,arthuda01,Kansas,9,503,8945,3282,1768,409,0.444,0.352,0.765,17.8,6.5,3.5,0.8,12.3,0.066,-2.2,-0.4
28,28,MEM,Donté Greene,greendo01,Syracuse,4,253,4259,1541,600,183,0.406,0.304,0.701,16.8,6.1,2.4,0.7,1.5,0.017,-2.8,-0.9
29,29,DET,D.J. White,whitedj01,Indiana,6,138,2111,810,437,80,0.507,0.333,0.72,15.3,5.9,3.2,0.6,3.8,0.087,-2.1,0
30,30,BOS,J.R. Giddens,giddejr01,New Mexico,2,38,247,73,54,13,0.476,0,0.565,6.5,1.9,1.4,0.3,0.1,0.027,-4.3,-0.1
31,31,MIN,Nikola Pekovi?,pekovni01,,6,271,6744,3405,1807,199,0.518,,0.76,24.9,12.6,6.7,0.7,18.8,0.134,-0.7,2.2
32,32,SEA,Walter Sharpe,sharpwa01,University of Alabama at Birmingham,1,8,20,8,3,0,0.364,0,0,2.5,1,0.4,0,-0.1,-0.131,-10.1,0
33,33,POR,Joey Dorsey,dorsejo01,Memphis,4,130,1488,344,513,55,0.534,0,0.375,11.4,2.6,3.9,0.4,2.9,0.092,-2.7,-0.3
34,34,MIN,Mario Chalmers,chalmma01,Kansas,9,646,17245,5743,1585,2412,0.417,0.351,0.793,26.7,8.9,2.5,3.7,32.3,0.09,-0.6,5.9
35,35,LAC,DeAndre Jordan,jordade01,Texas A&M,12,875,24326,8301,9451,818,0.669,0.091,0.474,27.8,9.5,10.8,0.9,88.7,0.175,1.4,20.9
36,36,POR,Ömer A??k,asikom01,,8,471,9216,2479,3362,280,0.528,0,0.551,19.6,5.3,7.1,0.6,20.9,0.109,-1.9,0.1
37,37,MIL,Luc Mbah a Moute,mbahalu01,UCLA,11,686,16013,4375,2798,588,0.454,0.335,0.66,23.3,6.4,4.1,0.9,26,0.078,-1.5,2
38,38,CHA,Kyle Weaver,weaveky01,Washington State,3,73,1379,363,158,119,0.441,0.353,0.736,18.9,5,2.2,1.6,1.5,0.051,-1.1,0.3
39,39,CHI,Sonny Weems,weemsso01,Arkansas,4,183,3335,1189,402,257,0.465,0.283,0.702,18.2,6.5,2.2,1.4,0,0.001,-4.2,-1.8
40,40,NJN,Chris Douglas-Roberts,douglch01,Memphis,6,222,4381,1571,472,254,0.439,0.329,0.831,19.7,7.1,2.1,1.1,5.4,0.059,-2.2,-0.2
41,41,IND,Nathan Jawai,jawaina01,,2,45,431,126,106,24,0.435,0,0.684,9.6,2.8,2.4,0.5,0.2,0.02,-4.4,-0.3
42,42,SAC,Sean Singletary,singlse01,Virginia,1,37,303,90,35,29,0.365,0.4,0.857,8.2,2.4,0.9,0.8,0,0.006,-5.1,-0.2
43,43,SAC,Patrick Ewing,ewingpa02,Georgetown,1,7,19,3,2,2,0,0,0.75,2.7,0.4,0.3,0.3,-0.1,-0.158,-9.1,0
44,44,UTA,Ante Tomi?,tomican01,,,,,,,,,,,,,,,,,,
45,45,SAS,Goran Dragi?,dragigo01,,12,812,22767,11289,2481,3921,0.464,0.364,0.763,28,13.9,3.1,4.8,54.1,0.114,0.8,16.3
46,46,SEA,Trent Plaisted,,Brigham Young University Hawaii,,,,,,,,,,,,,,,,,
47,47,WAS,Henry Walker,walkebi01,Kansas State,5,181,3016,1079,401,153,0.446,0.369,0.76,16.7,6,2.2,0.8,5,0.079,-1.8,0.2
48,48,PHO,Malik Hairston,hairsma01,Oregon,2,62,472,149,77,29,0.512,0.167,0.514,7.6,2.4,1.2,0.5,0.8,0.086,-2,0
49,49,GSW,Richard Hendrix,,Alabama,,,,,,,,,,,,,,,,,
50,50,SEA,DeVon Hardin,hardide01,California,,,,,,,,,,,,,,,,,
51,51,DAL,Shan Foster,,Vanderbilt,,,,,,,,,,,,,,,,,
52,52,MIA,Darnell Jackson,jacksda01,Kansas,3,138,1039,308,203,26,0.449,0.235,0.644,7.5,2.2,1.5,0.2,1.3,0.059,-5.2,-0.8
53,53,UTA,Tadija Dragi?evi?,dragita01,,,,,,,,,,,,,,,,,,
54,54,HOU,Maarty Leunen,leunema01,Oregon,,,,,,,,,,,,,,,,,
55,55,POR,Mike Taylor,taylomi01,Iowa State,1,51,771,289,87,106,0.412,0.325,0.691,15.1,5.7,1.7,2.1,-0.4,-0.028,-5.2,-0.6
56,56,SEA,Sasha Kaun,kaunsa01,Kansas,1,25,95,23,26,3,0.529,,0.455,3.8,0.9,1,0.1,0.2,0.096,-2.8,0
57,57,SAS,James Gist,,Maryland,,,,,,,,,,,,,,,,,
58,58,LAL,Joe Crawford,crawfjo01,Kentucky,1,2,23,9,4,1,0.3,0.25,1,11.5,4.5,2,0.5,0,0.037,-2.7,0
59,59,DET,Deron Washington,,Virginia Tech,,,,,,,,,,,,,,,,,
60,60,BOS,Semih Erden,erdense01,,2,69,928,262,190,29,0.546,,0.594,13.4,3.8,2.8,0.4,1.8,0.094,-3.6,-0.4
