,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,username,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CHI,Derrick Rose,rosede01,Memphis,11,596,19402,11185,2031,3334,0.456,0.304,0.827,32.6,18.8,3.4,5.6,39.7,0.098,1.3,16.5
2,2,MIA,Michael Beasley,beaslmi01,Kansas State,11,609,13903,7568,2861,788,0.465,0.349,0.759,22.8,12.4,4.7,1.3,15.6,0.054,-1.7,0.9
3,3,MIN,O.J. Mayo,mayooj01,USC,8,547,16919,7574,1706,1607,0.429,0.373,0.82,30.9,13.8,3.1,2.9,21.8,0.062,-0.9,4.7
4,4,SEA,Russell Westbrook,westbru01,UCLA,12,874,30235,20315,6186,7267,0.437,0.304,0.8,34.6,23.2,7.1,8.3,101.3,0.161,4.8,52.1
5,5,MEM,Kevin Love,loveke01,UCLA,12,713,22803,12993,7944,1697,0.442,0.37,0.828,32,18.2,11.1,2.4,82,0.173,3.4,31
6,6,NYK,Danilo Gallinari,gallida01,,11,604,18742,9777,2971,1231,0.427,0.381,0.872,31,16.2,4.9,2,56.1,0.144,2,18.9
7,7,LAC,Eric Gordon,gordoer01,Indiana,12,663,21755,10991,1634,1894,0.425,0.37,0.811,32.8,16.6,2.5,2.9,34.3,0.076,-0.4,8.7
8,8,MIL,Joe Alexander,alexajo01,West Virginia,2,67,745,282,120,44,0.41,0.34,0.698,11.1,4.2,1.8,0.7,0.5,0.03,-3.6,-0.3
9,9,CHA,D.J. Augustin,augusdj01,Texas,12,856,20634,8439,1630,3427,0.412,0.379,0.865,24.1,9.9,1.9,4,44.5,0.103,-0.5,8
10,10,NJN,Brook Lopez,lopezbr01,Stanford,12,778,23797,13084,4967,1186,0.494,0.338,0.792,30.6,16.8,6.4,1.5,64.7,0.13,1.4,20.4
11,11,IND,Jerryd Bayless,bayleje01,Arizona,11,586,12486,4909,1235,1674,0.411,0.361,0.818,21.3,8.4,2.1,2.9,18.6,0.072,-1.6,1.1
12,12,SAC,Jason Thompson,thompja02,Rider University,8,588,14819,5210,3880,635,0.496,0.143,0.657,25.2,8.9,6.6,1.1,23.8,0.077,-2.6,-2.4
13,13,POR,Brandon Rush,rushbr01,Kansas,9,481,10564,3250,1413,468,0.426,0.402,0.706,22,6.8,2.9,1,11.2,0.051,-1.4,1.6
14,14,GSW,Anthony Randolph,randoan01,LSU,6,252,3841,1789,1078,187,0.453,0.241,0.74,15.2,7.1,4.3,0.7,5.8,0.072,-1.6,0.4
15,15,PHO,Robin Lopez,lopezro01,Stanford,12,826,18511,7273,4191,683,0.529,0.299,0.751,22.4,8.8,5.1,0.8,44.7,0.116,-1,4.8
16,16,PHI,Marreese Speights,speigma01,Florida,10,705,10640,5592,2875,461,0.459,0.356,0.797,15.1,7.9,4.1,0.7,25.8,0.116,-2.2,-0.6
17,17,TOR,Roy Hibbert,hibbero01,Georgetown,9,662,16389,6611,4173,885,0.465,0.25,0.755,24.8,10,6.3,1.3,35.9,0.105,-1.1,3.5
18,18,WAS,JaVale McGee,mcgeeja01,Nevada,12,694,12025,5487,3573,274,0.575,0.152,0.592,17.3,7.9,5.1,0.4,36.4,0.145,0.2,6.7
19,19,CLE,J.J. Hickson,hicksjj01,NC State,8,534,11925,5081,3639,449,0.505,0,0.617,22.3,9.5,6.8,0.8,21.9,0.088,-1.8,0.5
20,20,CHA,Alexis Ajinça,ajincal01,,7,293,3905,1553,1150,143,0.503,0.286,0.797,13.3,5.3,3.9,0.5,7.5,0.093,-2.8,-0.8
21,21,NJN,Ryan Anderson,anderry01,California,12,649,16769,8001,3413,586,0.422,0.38,0.854,25.8,12.3,5.3,0.9,46.7,0.134,1,12.8
22,22,ORL,Courtney Lee,leeco01,Western Kentucky,12,811,21938,7765,2127,1353,0.451,0.388,0.853,27.1,9.6,2.6,1.7,39.4,0.086,-0.6,7.9
23,23,UTA,Kosta Koufos,koufoko01,Ohio State,11,686,11271,3913,3452,359,0.534,0,0.582,16.4,5.7,5,0.5,28.3,0.12,-1.3,2
24,24,SEA,Serge Ibaka,ibakase01,,11,803,23001,10099,5906,618,0.514,0.361,0.76,28.6,12.6,7.4,0.8,67.8,0.141,0.6,14.9
