,,,2018,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,username,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton,aytonde01,Arizona,2,101,3179,1729,1089,182,0.572,0,0.753,31.5,17.1,10.8,1.8,8.3,0.125,0.3,1.9
2,2,SAC,Marvin Bagley,baglema01,Duke,2,75,1901,1108,568,72,0.497,0.288,0.703,25.3,14.8,7.6,1,4,0.1,-1.4,0.3
3,3,ATL,Luka Don?i?,doncilu01,,2,126,4117,3075,1065,899,0.443,0.322,0.733,32.7,24.4,8.5,7.1,13,0.151,5.9,8.2
4,4,MEM,Jaren Jackson,jacksja02,Michigan State,2,112,3027,1712,526,140,0.485,0.386,0.755,27,15.3,4.7,1.3,6.5,0.102,-0.1,1.5
5,5,DAL,Trae Young,youngtr01,Oklahoma,2,141,4623,3327,556,1213,0.428,0.344,0.847,32.8,23.6,3.9,8.6,9.2,0.095,1.5,4
6,6,ORL,Mohamed Bamba,bambamo01,Texas,2,107,1634,624,532,81,0.474,0.333,0.624,15.3,5.8,5,0.8,4.2,0.124,-0.4,0.7
7,7,CHI,Wendell Carter,cartewe01,Duke,2,87,2366,939,712,129,0.508,0.197,0.761,27.2,10.8,8.2,1.5,5.2,0.105,-2,0
8,8,CLE,Collin Sexton,sextoco01,Alabama,2,147,4748,2720,440,435,0.45,0.392,0.843,32.3,18.5,3,3,1.9,0.02,-3.4,-1.7
9,9,NYK,Kevin Knox,knoxke01,Kentucky,2,140,3324,1382,519,143,0.367,0.337,0.697,23.7,9.9,3.7,1,-1.2,-0.017,-5.2,-2.7
10,10,PHI,Mikal Bridges,bridgmi01,Villanova,2,147,4189,1249,523,288,0.466,0.341,0.825,28.5,8.5,3.6,2,7,0.08,-0.5,1.6
11,11,CHO,Shai Gilgeous-Alexander,gilgesh01,Kentucky,2,145,4388,2105,616,478,0.474,0.357,0.801,30.3,14.5,4.2,3.3,8.9,0.097,0.6,2.9
12,12,LAC,Miles Bridges,bridgmi02,Michigan State,2,145,3691,1440,685,209,0.44,0.328,0.788,25.5,9.9,4.7,1.4,4.5,0.059,-1.8,0.2
13,13,LAC,Jerome Robinson,robinje01,Boston College,2,88,1068,313,147,84,0.365,0.304,0.684,12.1,3.6,1.7,1,0.1,0.006,-4.6,-0.7
14,14,DEN,Michael Porter,portemi01,Missouri,1,48,670,358,199,35,0.495,0.422,0.767,14,7.5,4.1,0.7,2,0.141,0.8,0.5
15,15,WAS,Troy Brown,browntr01,Oregon,2,113,2249,842,470,222,0.441,0.336,0.733,19.9,7.5,4.2,2,2.8,0.059,-1.8,0.1
16,16,PHO,Zhaire Smith,smithzh01,Texas Tech,2,13,143,48,15,12,0.378,0.316,0.667,11,3.7,1.2,0.9,0,0.011,-6.2,-0.2
17,17,MIL,Donte DiVincenzo,divindo01,Villanova,2,86,1773,685,354,167,0.45,0.322,0.767,20.6,8,4.1,1.9,5.1,0.137,1.1,1.4
18,18,SAS,Lonnie Walker,walkelo01,Miami (FL),2,70,885,344,132,55,0.422,0.405,0.73,12.6,4.9,1.9,0.8,0.5,0.027,-3.1,-0.3
19,19,ATL,Kevin Huerter,huertke01,Maryland,2,131,3808,1411,473,427,0.416,0.383,0.783,29.1,10.8,3.6,3.3,3,0.038,-1.9,0.1
20,20,MIN,Josh Okogie,okogijo01,Georgia Tech,2,136,3304,1103,486,190,0.404,0.274,0.765,24.3,8.1,3.6,1.4,3.4,0.049,-2.7,-0.6
21,21,UTA,Grayson Allen,allengr01,Duke,2,68,914,432,89,68,0.412,0.342,0.789,13.4,6.4,1.3,1,0.7,0.039,-4.3,-0.5
22,22,CHI,Chandler Hutchison,hutchch01,Boise State,2,72,1422,447,293,60,0.458,0.295,0.595,19.8,6.2,4.1,0.8,1.2,0.041,-3.4,-0.5
23,23,IND,Aaron Holiday,holidaa01,UCLA,2,108,2014,840,199,280,0.405,0.373,0.844,18.6,7.8,1.8,2.6,2.6,0.062,-1.8,0.1
24,24,POR,Anfernee Simons,simonan01,,2,85,1541,647,160,108,0.406,0.339,0.787,18.1,7.6,1.9,1.3,0.4,0.011,-4.4,-1
25,25,LAL,Moritz Wagner,wagnemo01,Michigan,2,80,1153,559,277,73,0.506,0.313,0.815,14.4,7,3.5,0.9,2,0.082,-2.7,-0.2
26,26,PHI,Landry Shamet,shamela01,Wichita State,2,126,3096,1176,224,204,0.425,0.41,0.846,24.6,9.3,1.8,1.6,6.3,0.097,-1.7,0.3
27,27,BOS,Robert Williams,williro04,Texas A&M,2,55,606,179,189,29,0.69,,0.575,11,3.3,3.4,0.5,2.6,0.203,3,0.8
28,28,GSW,Jacob Evans,evansja02,Cincinnati,2,59,622,168,66,54,0.337,0.315,0.833,10.5,2.8,1.1,0.9,-0.6,-0.047,-7.5,-0.9
29,29,BRK,Džanan Musa,musadz01,,2,44,443,167,76,33,0.366,0.213,0.717,10.1,3.8,1.7,0.8,-0.1,-0.008,-5,-0.3
30,30,ATL,Omari Spellman,spellom01,Villanova,2,95,1691,642,413,94,0.417,0.366,0.766,17.8,6.8,4.3,1,2.4,0.068,-1.5,0.2
31,31,PHO,Élie Okobo,okoboel01,,2,107,1665,519,186,240,0.395,0.315,0.728,15.6,4.9,1.7,2.2,0.3,0.01,-4.2,-0.9
32,32,MEM,Jevon Carter,carteje01,West Virginia,2,89,1331,403,164,134,0.354,0.365,0.825,15,4.5,1.8,1.5,1,0.037,-2.2,-0.1
33,33,DAL,Jalen Brunson,brunsja01,Villanova,2,130,2613,1144,303,418,0.467,0.352,0.759,20.1,8.8,2.3,3.2,4.9,0.089,-1.3,0.4
34,34,ATL,Devonte' Graham,grahade01,Kansas,2,109,2887,1362,275,592,0.375,0.357,0.81,26.5,12.5,2.5,5.4,3.9,0.064,-0.6,1
35,35,ORL,Melvin Frazier,frazime01,Tulane,2,25,95,33,9,2,0.342,0.308,0.375,3.8,1.3,0.4,0.1,-0.1,-0.06,-9.1,-0.2
36,36,NYK,Mitchell Robinson,robinmi01,,2,127,2772,1075,851,73,0.72,,0.583,21.8,8.5,6.7,0.6,12.9,0.223,2.7,3.3
37,37,SAC,Gary Trent,trentga02,Duke,2,68,1170,446,99,55,0.413,0.374,0.767,17.2,6.6,1.5,0.8,1.4,0.056,-2.1,0
38,38,PHI,Khyri Thomas,thomakh01,Creighton,2,34,256,78,21,11,0.314,0.306,0.6,7.5,2.3,0.6,0.3,0,-0.005,-5.7,-0.2
39,39,PHI,Isaac Bonga,bongais01,,2,80,1145,285,208,76,0.465,0.349,0.772,14.3,3.6,2.6,1,1.6,0.066,-2.7,-0.2
40,40,BRK,Rodions Kurucs,kurucro01,,2,102,1795,696,343,85,0.449,0.333,0.742,17.6,6.8,3.4,0.8,2.1,0.056,-2.7,-0.3
41,41,ORL,Jarred Vanderbilt,vandeja01,Kentucky,2,28,115,36,32,5,0.519,0,0.667,4.1,1.3,1.1,0.2,0,0.014,-4.9,-0.1
42,42,DET,Bruce Brown,brownbr01,Miami (FL),2,132,3083,836,459,321,0.424,0.302,0.743,23.4,6.3,3.5,2.4,3.6,0.056,-2.2,-0.2
43,43,DEN,Justin Jackson,jacksju02,Maryland,0,,,,,,,,,,,,,,,,
44,44,WAS,Issuf Sanon,sanonis01,,0,,,,,,,,,,,,,,,,
45,45,BRK,Hamidou Diallo,diallha01,Kentucky,2,89,1225,423,219,39,0.453,0.186,0.615,13.8,4.8,2.5,0.4,1,0.038,-4.5,-0.8
46,46,HOU,De'Anthony Melton,meltode01,USC,2,102,1995,670,327,316,0.407,0.311,0.806,19.6,6.6,3.2,3.1,1.8,0.044,-1.3,0.3
47,47,LAL,Sviatoslav Mykhailiuk,mykhasv01,Kansas,2,98,1705,637,140,143,0.389,0.385,0.767,17.4,6.5,1.4,1.5,1.5,0.042,-2.6,-0.3
48,48,MIN,Keita Bates-Diop,bateske01,Ohio State,2,69,1168,409,195,47,0.426,0.301,0.691,16.9,5.9,2.8,0.7,1.4,0.06,-1.9,0
49,49,SAS,Chimezie Metu,metuch01,USC,2,45,218,97,62,19,0.419,0,0.76,4.8,2.2,1.4,0.4,-0.1,-0.012,-4.8,-0.2
50,50,IND,Alize Johnson,johnsal02,Missouri State,2,27,118,31,37,3,0.355,0.5,0.571,4.4,1.1,1.4,0.1,0.1,0.047,-6.4,-0.1
51,51,NOP,Tony Carr,carrto01,Penn State,0,,,,,,,,,,,,,,,,
52,52,UTA,Vince Edwards,edwarvi01,Purdue,1,2,16,3,2,0,0.25,0.25,,8,1.5,1,0,0,-0.014,-6.4,0
53,53,OKC,Devon Hall,hallde01,Virginia,1,5,20,5,1,3,0.2,0,0.75,4,1,0.2,0.6,0,-0.064,-9.7,0
54,54,DAL,Shake Milton,miltosh01,SMU,2,52,879,390,103,89,0.467,0.413,0.759,16.9,7.5,2,1.7,2,0.111,-1.1,0.2
55,55,CHO,Arnoldas Kulboka,kulboar01,,0,,,,,,,,,,,,,,,,
56,56,PHI,Ray Spalding,spaldra01,Louisville,1,14,148,54,48,5,0.532,0,0.333,10.6,3.9,3.4,0.4,0.2,0.051,-5.1,-0.1
57,57,OKC,Kevin Hervey,herveke01,UT Arlington,1,7,19,2,2,1,0.091,0,,2.7,0.3,0.3,0.1,-0.2,-0.471,-19.7,-0.1
58,58,DEN,Thomas Welsh,welshth01,UCLA,1,11,36,18,4,5,0.538,0.429,0.5,3.3,1.6,0.4,0.5,0.1,0.162,1.2,0
59,59,PHO,George King,kingge03,Colorado,1,1,6,0,1,0,,,,6,0,1,0,0,-0.001,-7.9,0
60,60,PHI,Kostas Antetokounmpo,antetko01,Dayton,2,5,16,2,2,1,0,,0.5,3.2,0.4,0.4,0.2,0,-0.127,-7.4,0
