,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
20,20,MIN,Donatas Motiej?nas,motiedo01,,6,251,4566,1832,952,269,0.469,0.3,0.597,18.2,7.3,3.8,1.1,7.1,0.075,-2.5,-0.5
21,21,POR,Nolan Smith,smithno01,Duke,2,84,829,277,83,97,0.371,0.26,0.714,9.9,3.3,1,1.2,-0.8,-0.047,-6,-0.8
22,22,DEN,Kenneth Faried,farieke01,Morehead State University,8,478,11728,5430,3884,470,0.546,0.222,0.654,24.5,11.4,8.1,1,38.8,0.159,0.5,7.5
23,23,HOU,Nikola Miroti?,mirotni01,,5,319,7718,3910,1894,407,0.423,0.359,0.808,24.2,12.3,5.9,1.3,20.8,0.129,1.6,7.1
24,24,OKC,Reggie Jackson,jacksre01,Boston College,9,553,13933,7129,1634,2431,0.428,0.336,0.857,25.2,12.9,3,4.4,29.1,0.1,0.5,8.7
25,25,BOS,MarShon Brooks,brookma01,Providence,5,200,3456,1592,424,282,0.447,0.345,0.751,17.3,8,2.1,1.4,3.3,0.046,-1.6,0.4
26,26,DAL,Jordan Hamilton,hamiljo02,Texas,5,151,2100,890,429,127,0.408,0.357,0.67,13.9,5.9,2.8,0.8,3,0.069,-0.1,1
27,27,NJN,JaJuan Johnson,johnsja02,Purdue,1,36,298,114,58,6,0.446,,0.667,8.3,3.2,1.6,0.2,0.2,0.032,-3.9,-0.1
28,28,CHI,Norris Cole,coleno01,Cleveland State University,6,360,8018,2506,702,981,0.407,0.324,0.743,22.3,7,2,2.7,3,0.018,-4.1,-4.1
29,29,SAS,Cory Joseph,josepco01,Texas,9,592,12894,4070,1526,1703,0.441,0.331,0.766,21.8,6.9,2.6,2.9,24,0.089,-0.8,3.9
30,30,CHI,Jimmy Butler,butleji01,Marquette,9,577,19080,9823,2936,2136,0.454,0.333,0.835,33.1,17,5.1,3.7,74.6,0.188,4.2,29.7
31,31,MIA,Bojan Bogdanovi?,bogdabo02,,6,462,13172,6570,1607,689,0.46,0.394,0.858,28.5,14.2,3.5,1.5,22.7,0.083,-1.1,2.9
32,32,CLE,Justin Harper,harpeju01,Richmond,3,22,150,45,18,4,0.34,0.276,0.333,6.8,2,0.8,0.2,-0.3,-0.093,-8.7,-0.2
33,33,DET,Kyle Singler,singlky01,Duke,6,356,7794,2326,1026,272,0.418,0.362,0.786,21.9,6.5,2.9,0.8,10,0.062,-2.5,-0.9
34,34,WAS,Shelvin Mack,macksh01,Butler,8,456,8392,2997,894,1421,0.423,0.33,0.731,18.4,6.6,2,3.1,10.3,0.059,-1.9,0.1
35,35,SAC,Tyler Honeycutt,honeyty01,UCLA,2,24,120,28,24,9,0.314,0.2,0.714,5,1.2,1,0.4,-0.1,-0.049,-5.1,-0.1
36,36,NJN,Jordan Williams,willijo03,Maryland,1,43,635,197,156,11,0.507,,0.652,14.8,4.6,3.6,0.3,1.3,0.101,-2.1,0
37,37,LAC,Trey Thompkins,thomptr02,Georgia,1,24,119,57,24,3,0.393,0.308,0.714,5,2.4,1,0.1,0,0.004,-5.7,-0.1
38,38,HOU,Chandler Parsons,parsoch01,Florida,9,440,13246,5571,1972,1201,0.462,0.373,0.713,30.1,12.7,4.5,2.7,28.9,0.105,1.1,10.2
39,39,CHA,Jeremy Tyler,tylerje01,,3,104,1034,373,269,25,0.45,0,0.557,9.9,3.6,2.6,0.2,0.3,0.014,-7,-1.3
40,40,MIL,Jon Leuer,leuerjo01,Wisconsin,8,377,5945,2395,1426,301,0.484,0.328,0.767,15.8,6.4,3.8,0.8,13.2,0.107,-0.7,2
41,41,LAL,Darius Morris,morrida01,Michigan,4,132,1464,430,126,189,0.384,0.322,0.63,11.1,3.3,1,1.4,-0.3,-0.01,-5.1,-1.2
42,42,IND,D?vis Bert?ns,bertada01,,4,274,5109,2199,760,312,0.441,0.411,0.849,18.6,8,2.8,1.1,12.8,0.12,1.2,4.2
43,43,CHI,Malcolm Lee,leema01,UCLA,3,36,534,140,65,51,0.382,0.294,0.703,14.8,3.9,1.8,1.4,0.4,0.04,-2.5,-0.1
44,44,GSW,Charles Jenkins,jenkich01,Hofstra,2,110,1334,408,100,214,0.434,0.182,0.754,12.1,3.7,0.9,1.9,0.5,0.017,-4.5,-0.8
45,45,NOH,Josh Harrellson,harrejo01,Kentucky,3,75,888,265,227,26,0.438,0.347,0.629,11.8,3.5,3,0.3,2.1,0.116,-0.4,0.4
46,46,LAL,Andrew Goudelock,goudean01,College of Charleston,3,49,475,197,34,24,0.393,0.345,0.875,9.7,4,0.7,0.5,0,0.003,-5,-0.3
47,47,LAC,Travis Leslie,leslitr01,Georgia,1,10,45,14,9,5,0.357,,0.444,4.5,1.4,0.9,0.5,0.1,0.06,-0.3,0
48,48,ATL,Keith Benson,bensoke02,Oakland,1,3,9,0,3,0,0,,,3,0,1,0,0,-0.005,-7.7,0
49,49,MEM,Josh Selby,selbyjo01,Kansas,2,38,296,83,20,34,0.33,0.143,0.72,7.8,2.2,0.5,0.9,-0.7,-0.113,-9.5,-0.6
50,50,PHI,Lavoy Allen,allenla01,Temple,6,388,6905,1847,1843,384,0.471,0.133,0.682,17.8,4.8,4.8,1,13.8,0.096,-2.1,-0.1
51,51,POR,Jon Diebler,diebljo01,Ohio State,,,,,,,,,,,,,,,,,
52,52,DET,Vernon Macklin,macklve01,Florida,1,23,135,46,34,5,0.543,,0.571,5.9,2,1.5,0.2,0.5,0.161,1.2,0.1
53,53,ORL,DeAndre Liggins,liggide01,Kentucky,5,177,1907,346,252,122,0.402,0.352,0.549,10.8,2,1.4,0.7,1.6,0.04,-2.2,-0.1
54,54,CLE,Milan Ma?van,macvami01,,,,,,,,,,,,,,,,,,
55,55,BOS,E'Twaun Moore,mooreet01,Purdue,9,566,12113,4581,1155,1010,0.455,0.39,0.737,21.4,8.1,2,1.8,14.4,0.057,-1.9,0.3
56,56,LAL,Chukwudiebere Maduabum,maduach01,,,,,,,,,,,,,,,,,,
57,57,DAL,Targuy Ngombo,,,,,,,,,,,,,,,,,,,
58,58,LAL,Ater Majok,majokat01,,,,,,,,,,,,,,,,,,
59,59,SAS,Ádám Hanga,hangaad01,,,,,,,,,,,,,,,,,,
60,60,SAC,Isaiah Thomas,thomais02,Washington,9,525,15182,9508,1288,2599,0.436,0.364,0.872,28.9,18.1,2.5,5,45.3,0.143,2.3,16.5
