,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,username,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,CLE,Kyrie Irving,irvinky01,Duke,9,528,17827,11842,1955,3012,0.466,0.39,0.877,33.8,22.4,3.7,5.7,61.3,0.165,4.5,29.2
2,2,MIN,Derrick Williams,willide02,Arizona,7,428,8864,3809,1693,293,0.434,0.3,0.71,20.7,8.9,4,0.7,14.1,0.076,-1.6,0.8
3,3,UTA,Enes Kanter,kanteen01,,9,634,13840,7362,4830,539,0.542,0.287,0.776,21.8,11.6,7.6,0.9,43.4,0.151,-0.2,6.3
4,4,CLE,Tristan Thompson,thomptr01,Texas,9,619,17372,5839,5393,624,0.518,0.281,0.61,28.1,9.4,8.7,1,43.1,0.119,-1.6,1.9
5,5,TOR,Jonas Valan?i?nas,valanjo01,,8,551,13931,6825,4860,500,0.562,0.361,0.781,25.3,12.4,8.8,0.9,51.5,0.177,0.7,9.6
6,6,WAS,Jan Veselý,veselja01,,3,162,2455,590,562,96,0.521,0,0.408,15.2,3.6,3.5,0.6,4,0.078,-2.6,-0.4
7,7,SAC,Bismack Biyombo,biyombi01,,9,636,12864,3273,3968,338,0.52,0,0.575,20.2,5.1,6.2,0.5,25.3,0.095,-2.6,-1.9
8,8,DET,Brandon Knight,knighbr03,Kentucky,8,446,13137,6269,1377,1769,0.411,0.353,0.806,29.5,14.1,3.1,4,11.5,0.042,-1.6,1.5
9,9,CHA,Kemba Walker,walkeke02,UConn,9,655,22199,13069,2521,3555,0.418,0.36,0.838,33.9,20,3.8,5.4,54,0.117,2.9,27.5
10,10,MIL,Jimmer Fredette,fredeji01,BYU,6,241,3213,1438,243,331,0.409,0.372,0.879,13.3,6,1,1.4,2.2,0.033,-2.5,-0.4
11,11,GSW,Klay Thompson,thompkl01,Washington State,8,615,20340,11995,2130,1416,0.459,0.419,0.848,33.1,19.5,3.5,2.3,46.8,0.11,0.7,14.2
12,12,UTA,Alec Burks,burksal01,Colorado,9,488,10664,4980,1566,900,0.42,0.358,0.792,21.9,10.2,3.2,1.8,15.9,0.072,-1.2,2.2
13,13,PHO,Markieff Morris,morrima02,Kansas,9,631,16145,7250,3384,1054,0.448,0.344,0.778,25.6,11.5,5.4,1.7,24.9,0.074,-1.3,2.9
14,14,HOU,Marcus Morris,morrima03,Kansas,9,600,16181,7248,2795,905,0.431,0.367,0.759,27,12.1,4.7,1.5,30,0.089,-0.5,6
15,15,IND,Kawhi Leonard,leonaka01,San Diego State,9,518,16047,9620,3323,1377,0.491,0.381,0.854,31,18.6,6.4,2.7,73.4,0.22,6.8,35.7
16,16,PHI,Nikola Vu?evi?,vucevni01,USC,9,590,17868,9463,6033,1512,0.499,0.331,0.745,30.3,16,10.2,2.6,47.2,0.127,1.9,17.7
17,17,NYK,Iman Shumpert,shumpim01,Georgia Tech,9,459,11459,3318,1533,845,0.392,0.338,0.764,25,7.2,3.3,1.8,12.9,0.054,-1.7,0.9
18,18,WAS,Chris Singleton,singlch01,Florida State,3,148,2605,612,472,92,0.376,0.319,0.633,17.6,4.1,3.2,0.6,2.3,0.042,-3.2,-0.8
19,19,CHA,Tobias Harris,harrito02,Tennessee,9,611,18835,9694,3690,1234,0.471,0.364,0.82,30.8,15.9,6,2,45,0.115,0.9,13.8
