,,,Round 1,,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
41,41,BRK,Pat Connaughton,connapa01,Notre Dame,5,277,4327,1305,762,346,0.443,0.343,0.784,15.6,4.7,2.8,1.2,9.8,0.109,-0.5,1.7
42,42,UTA,Olivier Hanlan,hanlaol01,Boston College,,,,,,,,,,,,,,,,,
43,43,IND,Joe Young,youngjo01,Oregon,3,127,1077,429,130,119,0.393,0.296,0.768,8.5,3.4,1,0.9,0.4,0.016,-4.1,-0.6
44,44,PHO,Andrew Harrison,harrian01,Kentucky,3,145,2987,1012,287,399,0.373,0.294,0.779,20.6,7,2,2.8,3.2,0.051,-2.8,-0.6
45,45,BOS,Marcus Thornton,thornma02,College of William & Mary,,,,,,,,,,,,,,,,,
46,46,MIL,Norman Powell,powelno01,UCLA,5,299,5550,2531,699,387,0.457,0.359,0.816,18.6,8.5,2.3,1.3,11.5,0.099,-0.3,2.3
47,47,PHI,Art?ras Gudaitis,gudaiar01,,,,,,,,,,,,,,,,,,
48,48,OKC,Dakari Johnson,johnsda04,Kentucky,1,31,161,55,34,8,0.564,,0.55,5.2,1.8,1.1,0.3,0.6,0.178,-0.3,0.1
49,49,WAS,Aaron White,whiteaa01,Iowa,,,,,,,,,,,,,,,,,
50,50,ATL,Marcus Eriksson,eriksma01,,,,,,,,,,,,,,,,,,
51,51,ORL,Tyler Harvey,harvety01,Eastern Washington,,,,,,,,,,,,,,,,,
52,52,DAL,Satnam Singh Bhamara,singhsa01,,,,,,,,,,,,,,,,,,
53,53,CLE,Sir'Dominic Pointer,pointsi01,St. John's,,,,,,,,,,,,,,,,,
54,54,UTA,Dani Díez de la Faya,diezda01,,,,,,,,,,,,,,,,,,
55,55,SAS,Cady Lalanne,lalanca01,UMass,,,,,,,,,,,,,,,,,
56,56,NOP,Branden Dawson,dawsobr01,Michigan State,1,6,29,5,4,0,0.4,,1,4.8,0.8,0.7,0,0,0.069,-5.7,0
57,57,DEN,Nikola Radi?evi?,radicni01,,,,,,,,,,,,,,,,,,
58,58,PHI,J.P. Tokoto,tokotjp01,UNC,,,,,,,,,,,,,,,,,
59,59,ATL,Dimitrios Agravanis,agravdi01,,,,,,,,,,,,,,,,,,
60,60,PHI,Luka Mitrovi?,mitrolu01,,,,,,,,,,,,,,,,,,
